Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
JC Buttler,2012-2016,15,15,4,305,66*,27.72,219,139.26,0,1,0,23,13,England
PD Collingwood,2007-2010,17,17,1,210,37,13.12,179,117.31,0,0,2,13,7,England
JW Dernbach,2012-2014,7,2,1,14,12,14.00,9,155.55,0,0,0,2,0,England
ST Finn,2012-2012,5,2,2,9,8*,-,13,69.23,0,0,0,1,0,England
A Flintoff,2007-2007,5,5,1,70,31,17.50,53,132.07,0,0,0,7,2,England
JS Foster,2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1,England
AD Hales,2012-2016,14,14,1,356,116*,27.38,264,134.84,1,1,3,41,10,England
CJ Jordan,2014-2016,10,6,1,70,16,14.00,68,102.94,0,0,0,6,1,England
RWT Key,2009-2009,1,1,1,10,10*,-,8,125.00,0,0,0,0,0,England
C Kieswetter,2010-2012,11,11,0,261,63,23.72,237,110.12,0,1,2,24,13,England
RJ Kirtley,2007-2007,1,1,1,2,2*,-,4,50.00,0,0,0,0,0,England
MJ Lumb,2010-2014,11,11,0,194,33,17.63,148,131.08,0,0,1,23,6,England
DL Maddy,2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3,England
AD Mascarenhas,2007-2009,8,8,4,61,25*,15.25,59,103.38,0,0,2,5,0,England
EJG Morgan,2009-2016,23,23,4,484,71*,25.47,395,122.53,0,3,2,36,17,England
SD Parry,2014-2014,1,1,0,1,1,1.00,1,100.00,0,0,0,0,0,England
SR Patel,2012-2012,3,2,1,67,67,67.00,48,139.58,0,1,0,8,2,England
KP Pietersen,2007-2010,15,15,2,580,79,44.61,391,148.33,0,4,0,60,17,England
LE Plunkett,2016-2016,4,1,0,4,4,4.00,4,100.00,0,0,0,0,0,England
MJ Prior,2007-2007,3,3,0,69,32,23.00,62,111.29,0,0,0,4,3,England
AU Rashid,2009-2016,10,3,3,13,9*,-,21,61.90,0,0,0,0,0,England
JE Root,2016-2016,6,6,1,249,83,49.80,170,146.47,0,2,0,24,7,England
JJ Roy,2016-2016,6,6,0,183,78,30.50,123,148.78,0,1,1,22,7,England
CP Schofield,2007-2007,4,4,3,24,9*,24.00,20,120.00,0,0,0,2,0,England
OA Shah,2007-2009,10,10,0,209,38,20.90,179,116.75,0,0,0,12,10,England
RJ Sidebottom,2009-2010,10,-,-,-,-,-,-,-,-,-,-,-,-,England
JN Snape,2007-2007,1,1,0,7,7,7.00,11,63.63,0,0,0,0,0,England
VS Solanki,2007-2007,2,2,0,67,43,33.50,56,119.64,0,0,0,9,1,England
BA Stokes,2016-2016,6,5,1,56,15,14.00,33,169.69,0,0,0,5,3,England
GP Swann,2009-2012,16,8,4,58,34,14.50,47,123.40,0,0,2,4,1,England
RJW Topley,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-,England
JC Tredwell,2014-2014,4,1,1,8,8*,-,6,133.33,0,0,0,1,0,England
CT Tremlett,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-,England
JM Vince,2016-2016,1,1,0,22,22,22.00,18,122.22,0,0,0,4,0,England
DJ Willey,2016-2016,6,3,1,41,21,20.50,31,132.25,0,0,1,1,4,England
