Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
Shafiul Islam,2010-2012,4,4,13.4,0,128,1,1/25,128.00,9.36,82.0,0,0,1,0,Bangladesh
Shahadat Hossain,2009-2009,1,1,3.0,0,31,1,1/31,31.00,10.33,18.0,0,0,0,0,Bangladesh
Shamsur Rahman,2014-2014,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Shakib Al Hasan,2007-2016,25,24,88.1,0,586,30,4/15,19.53,6.64,17.6,2,0,7,0,Bangladesh
Shuvagata Hom,2016-2016,3,3,8.0,0,53,1,1/24,53.00,6.62,48.0,0,0,1,0,Bangladesh
Sohag Gazi,2014-2014,3,3,11.0,0,94,0,-,-,8.54,-,0,0,1,0,Bangladesh
Sohrawordi Shuvo,2010-2010,1,1,1.0,0,12,0,-,-,12.00,-,0,0,0,0,Bangladesh
Soumya Sarkar,2016-2016,7,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh
Syed Rasel,2007-2007,5,5,17.0,2,123,3,1/10,41.00,7.23,34.0,0,0,0,0,Bangladesh
Tamim Iqbal,2007-2016,23,-,-,-,-,-,-,-,-,-,-,-,6,0,Bangladesh
Taskin Ahmed,2014-2016,5,4,14.0,0,85,4,2/32,21.25,6.07,21.0,0,0,0,0,Bangladesh
Ziaur Rahman,2012-2014,5,4,5.3,0,76,1,1/16,76.00,13.81,33.0,0,0,2,0,Bangladesh
MM Ali,2014-2016,10,9,19.0,0,172,5,2/34,34.40,9.05,22.8,0,0,4,0,England
JM Anderson,2007-2009,9,9,32.2,0,233,8,3/23,29.12,7.20,24.2,0,0,0,0,England
JM Bairstow,2012-2012,5,-,-,-,-,-,-,-,-,-,-,-,5,0,England
RS Bopara,2009-2014,11,3,8.0,0,40,1,1/15,40.00,5.00,48.0,0,0,2,0,England
TT Bresnan,2010-2014,13,13,40.0,0,319,4,1/20,79.75,7.97,60.0,0,0,3,0,England
DR Briggs,2012-2012,1,1,4.0,0,36,1,1/36,36.00,9.00,24.0,0,0,0,0,England
SCJ Broad,2007-2014,26,25,86.5,2,671,30,3/17,22.36,7.72,17.3,0,0,9,0,England
JC Buttler,2012-2016,15,-,-,-,-,-,-,-,-,-,-,-,3,1,England
PD Collingwood,2007-2010,17,6,10.0,0,109,3,1/17,36.33,10.90,20.0,0,0,7,0,England
JW Dernbach,2012-2014,7,7,23.2,0,240,7,2/16,34.28,10.28,20.0,0,0,0,0,England
ST Finn,2012-2012,5,5,20.0,0,123,8,3/16,15.37,6.15,15.0,0,0,2,0,England
A Flintoff,2007-2007,5,5,18.0,0,110,5,2/23,22.00,6.11,21.6,0,0,4,0,England
JS Foster,2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,3,3,England
AD Hales,2012-2016,14,-,-,-,-,-,-,-,-,-,-,-,9,0,England
CJ Jordan,2014-2016,10,10,33.2,0,264,10,4/28,26.40,7.92,20.0,1,0,6,0,England
RWT Key,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,1,0,England
C Kieswetter,2010-2012,11,-,-,-,-,-,-,-,-,-,-,-,6,2,England
RJ Kirtley,2007-2007,1,1,1.0,0,17,0,-,-,17.00,-,0,0,0,0,England
MJ Lumb,2010-2014,11,-,-,-,-,-,-,-,-,-,-,-,3,0,England
DL Maddy,2007-2007,4,2,3.0,0,26,3,2/6,8.66,8.66,6.0,0,0,1,0,England
