Player,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn,country,year
Kamran Akmal,3,3,5,3,2,4 (3ct 1st),1.666,Pakistan,2007
BRM Taylor,3,3,5,4,1,4 (3ct 1st),1.666,Zimbabwe,2007
J Smits,3,3,4,3,1,3 (2ct 1st),1.333,Netherlands,2007
A Bagai,3,3,3,3,0,1 (1ct 0st),1.000,Canada,2007
Mushfiqur Rahim,9,9,3,3,0,2 (2ct 0st),0.333,Bangladesh,2007
DA Minors,3,3,2,1,1,1 (1ct 0st),0.666,Bermuda,2007
CJO Smith,3,3,2,1,1,1 (1ct 0st),0.666,Scotland,2007
MA Ouma,3,3,1,0,1,1 (0ct 1st),0.333,Kenya,2007
KC Sangakkara,9,8,14,10,4,4 (3ct 1st),1.750,SriLanka,2011
BJ Haddin,7,7,13,13,0,4 (4ct 0st),1.857,Australia,2011
Kamran Akmal,8,8,12,8,4,3 (3ct 0st),1.500,Pakistan,2011
MJ Prior,7,7,10,7,3,4 (4ct 0st),1.428,England,2011
DC Thomas,7,7,10,7,3,3 (3ct 0st),1.428,WestIndies,2011
MS Dhoni,9,9,10,7,3,3 (3ct 0st),1.111,India,2011
BB McCullum,8,8,9,8,1,3 (3ct 0st),1.125,NewZealand,2011
MN van Wyk,5,4,8,7,1,4 (4ct 0st),2.000,SouthAfrica,2011
A Bagai,6,6,8,8,0,3 (3ct 0st),1.333,Canada,2011
Mushfiqur Rahim,6,6,7,3,4,2 (1ct 1st),1.166,Bangladesh,2011
MA Ouma,5,5,4,2,2,1 (1ct 0st),0.800,Kenya,2011
NJ O'Brien,6,6,4,3,1,1 (1ct 0st),0.666,Ireland,2011
AF Buurman,2,1,3,3,0,3 (3ct 0st),3.000,Netherlands,2011
W Barresi,6,5,3,2,1,1 (1ct 0st),0.600,Netherlands,2011
T Taibu,6,6,3,0,3,2 (0ct 2st),0.500,Zimbabwe,2011
DO Obuya,4,1,1,1,0,1 (1ct 0st),1.000,Kenya,2011
AB de Villiers,5,3,0,0,0,0,0.000,SouthAfrica,2011
BJ Haddin,8,8,16,16,0,3 (3ct 0st),2.000,Australia,2015
MS Dhoni,8,8,15,15,0,4 (4ct 0st),1.875,India,2015
D Ramdin,7,7,13,13,0,3 (3ct 0st),1.857,WestIndies,2015
L Ronchi,9,9,13,12,1,3 (3ct 0st),1.444,NewZealand,2015
MH Cross,6,6,10,9,1,4 (4ct 0st),1.666,Scotland,2015
Q de Kock,8,8,10,9,1,2 (2ct 0st),1.250,SouthAfrica,2015
Umar Akmal,7,4,8,8,0,5 (5ct 0st),2.000,Pakistan,2015
JC Buttler,6,6,8,8,0,4 (4ct 0st),1.333,England,2015
Mushfiqur Rahim,6,6,8,7,1,4 (4ct 0st),1.333,Bangladesh,2015
KC Sangakkara,7,7,8,5,3,3 (2ct 1st),1.142,SriLanka,2015
Afsar Zazai,6,6,7,7,0,3 (3ct 0st),1.166,Afghanistan,2015
Sarfaraz Ahmed,3,3,6,6,0,6 (6ct 0st),2.000,Pakistan,2015
SP Patil,6,6,4,4,0,2 (2ct 0st),0.666,UnitedArabEmirates,2015
BRM Taylor,6,6,4,4,0,2 (2ct 0st),0.666,Zimbabwe,2015
GC Wilson,6,6,4,4,0,2 (2ct 0st),0.666,Ireland,2015
Saqlain Haider,1,0,1,1,0,1 (1ct 0st),-,UnitedArabEmirates,2015
TWM Latham,10,10,21,21,0,5 (5ct 0st),2.100,NewZealand,2019
AT Carey,10,10,20,18,2,5 (4ct 1st),2.000,Australia,2019
SD Hope,9,9,16,16,0,4 (4ct 0st),1.777,WestIndies,2019
Sarfaraz Ahmed,8,8,14,13,1,3 (3ct 0st),1.750,Pakistan,2019
JC Buttler,11,11,14,12,2,3 (2ct 1st),1.272,England,2019
Mushfiqur Rahim,8,8,10,8,2,3 (1ct 2st),1.250,Bangladesh,2019
MS Dhoni,9,9,10,7,3,4 (3ct 1st),1.111,India,2019
Q de Kock,9,8,9,9,0,2 (2ct 0st),1.125,SouthAfrica,2019
MDKJ Perera,7,7,8,8,0,4 (4ct 0st),1.142,SriLanka,2019
JM Bairstow,11,0,4,4,0,4 (4ct 0st),-,England,2019
Ikram Alikhil,7,7,4,2,2,2 (1ct 1st),0.571,Afghanistan,2019
Mohammad Shahzad,2,2,2,2,0,2 (2ct 0st),1.000,Afghanistan,2019
