Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
JH Kallis,7,7,0,225,69,32.14,309,72.81,0,2,0,18,1,SouthAfrica,2011,30.0,3,123,5,2/19,24.60,4.10,36.0,0,0,6,0,SA,All Rounder
RS Kaluwitharana,6,6,0,73,33,12.16,52,140.38,0,0,2,12,2,SriLanka,1996,-,-,-,-,-,-,-,-,-,-,2,3,SL,Wicket Keeper
RS Kaluwitharana,5,5,1,90,57,22.50,126,71.42,0,1,0,11,0,SriLanka,1999,-,-,-,-,-,-,-,-,-,-,6,1,SL,Wicket Keeper
G Kirsten,6,6,1,391,188*,78.20,434,90.09,1,1,0,33,4,SouthAfrica,1996,3.0,1,9,0,-,-,3.00,-,0,0,2,0,SA,Batsman
G Kirsten,9,9,0,229,82,25.44,417,54.91,0,1,1,22,1,SouthAfrica,1999,-,-,-,-,-,-,-,-,-,-,5,0,SA,Batsman
G Kirsten,6,6,3,186,69,62.00,217,85.71,0,3,1,24,2,SouthAfrica,2003,-,-,-,-,-,-,-,-,-,-,2,0,SA,Batsman
A Kumble,7,3,1,27,17,13.50,28,96.42,0,0,0,5,0,India,1996,69.4,3,281,15,3/28,18.73,4.03,27.8,0,0,8,0,INDIA,Bowler
A Kumble,7,3,2,10,6*,10.00,15,66.66,0,0,0,0,0,India,1999,67.2,1,282,8,2/30,35.25,4.18,50.5,0,0,5,0,INDIA,Bowler
A Kumble,3,2,1,25,16*,25.00,45,55.55,0,0,0,1,0,India,2003,27.0,1,107,5,4/32,21.40,3.96,32.4,1,0,1,0,INDIA,Bowler
A Kumble,1,-,-,-,-,-,-,-,-,-,-,-,-,India,2007,9.1,0,38,3,3/38,12.66,4.14,18.3,0,0,0,0,INDIA,Bowler
GD McGrath,7,1,1,0,0*,-,0,-,0,0,0,0,0,Australia,1996,62.2,10,258,6,2/30,43.00,4.13,62.3,0,0,1,0,AUS,Bowler
GD McGrath,10,2,1,0,0*,0.00,3,0.00,0,0,1,0,0,Australia,1999,95.4,9,367,18,5/14,20.38,3.83,31.8,0,1,0,0,AUS,Bowler
GD McGrath,11,1,1,3,3*,-,2,150.00,0,0,0,0,0,Australia,2003,87.0,18,310,21,7/15,14.76,3.56,24.8,0,1,3,0,AUS,Bowler
GD McGrath,11,-,-,-,-,-,-,-,-,-,-,-,-,Australia,2007,80.5,5,357,26,3/14,13.73,4.41,18.6,0,0,1,0,AUS,Bowler
M Muralitharan,6,1,1,5,5*,-,4,125.00,0,0,0,0,0,SriLanka,1996,57.1,3,216,7,2/37,30.85,3.77,49.0,0,0,2,0,SL,Bowler
M Muralitharan,5,3,1,16,12,8.00,11,145.45,0,0,0,3,0,SriLanka,1999,43.0,3,158,6,3/25,26.33,3.67,43.0,0,0,2,0,SL,Bowler
M Muralitharan,10,5,1,38,16,9.50,49,77.55,0,0,0,5,0,SriLanka,2003,87.4,7,319,17,4/28,18.76,3.63,30.9,1,0,3,0,SL,Bowler
M Muralitharan,10,2,1,3,2*,3.00,3,100.00,0,0,0,0,0,SriLanka,2007,84.4,1,351,23,4/19,15.26,4.14,22.0,2,0,5,0,SL,Bowler
M Muralitharan,9,2,1,7,7,7.00,4,175.00,0,0,0,0,1,SriLanka,2011,71.0,1,291,15,4/25,19.40,4.09,28.4,1,0,1,0,SL,Bowler
MO Odumbe,6,5,0,112,50,22.40,206,54.36,0,1,1,8,0,Kenya,1996,42.5,6,187,6,3/15,31.16,4.36,42.8,0,0,1,0,KENYA,All Rounder
MO Odumbe,5,5,0,129,82,25.80,208,62.01,0,1,0,9,0,Kenya,1999,30.0,3,154,3,2/39,51.33,5.13,60.0,0,0,0,0,KENYA,All Rounder
