Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role
A Flintoff,5,2,0,15,15,7.50,30,50.00,0,0,1,1,1,England,1999,18.0,0,96,2,1/28,48.00,5.33,54.0,0,0,0,0,ENG,All Rounder
A Flintoff,5,5,0,156,64,31.20,217,71.88,0,1,1,11,6,England,2003,48.4,9,140,7,2/15,20.00,2.87,41.7,0,0,3,0,ENG,All Rounder
A Flintoff,8,7,0,92,43,13.14,140,65.71,0,0,1,9,1,England,2007,69.0,3,298,14,4/43,21.28,4.31,29.5,1,0,3,0,ENG,All Rounder
SC Ganguly,7,7,0,379,183,54.14,467,81.15,1,1,0,39,8,India,1999,38.0,0,195,6,3/27,32.50,5.13,38.0,0,0,0,0,INDIA,All Rounder
SC Ganguly,11,11,3,465,112*,58.12,565,82.30,3,0,1,30,15,India,2003,20.0,1,88,3,3/22,29.33,4.40,40.0,0,0,1,0,INDIA,All Rounder
SC Ganguly,3,3,0,162,89,54.00,266,60.90,0,2,0,10,2,India,2007,4.0,0,22,1,1/22,22.00,5.50,24.0,0,0,0,0,INDIA,All Rounder
HH Gibbs,9,9,0,341,101,37.88,467,73.01,1,2,1,34,4,SouthAfrica,1999,-,-,-,-,-,-,-,-,-,-,2,0,SA,Batsman
HH Gibbs,6,6,2,384,143,96.00,381,100.78,1,2,0,52,10,SouthAfrica,2003,-,-,-,-,-,-,-,-,-,-,1,0,SA,Batsman
HH Gibbs,10,8,2,342,72,57.00,373,91.68,0,4,0,20,14,SouthAfrica,2007,-,-,-,-,-,-,-,-,-,-,7,0,SA,Batsman
AC Gilchrist,10,10,0,224,63,22.40,284,78.87,0,2,1,27,2,Australia,1999,-,-,-,-,-,-,-,-,-,-,12,2,AUS,Wicket Keeper
AC Gilchrist,10,10,0,408,99,40.80,387,105.42,0,4,0,56,7,Australia,2003,-,-,-,-,-,-,-,-,-,-,21,0,AUS,Wicket Keeper
AC Gilchrist,11,11,1,453,149,45.30,436,103.89,1,2,0,58,10,Australia,2007,-,-,-,-,-,-,-,-,-,-,12,5,AUS,Wicket Keeper
RD Jacobs,5,4,2,205,80*,102.50,408,50.24,0,2,0,18,3,WestIndies,1999,-,-,-,-,-,-,-,-,-,-,14,0,WI,Wicket Keeper
RD Jacobs,6,4,2,65,50,32.50,92,70.65,0,1,1,3,1,WestIndies,2003,-,-,-,-,-,-,-,-,-,-,7,1,WI,Wicket Keeper
DPMD Jayawardene,4,4,0,102,45,25.50,106,96.22,0,0,0,16,0,SriLanka,1999,24.0,0,131,2,2/56,65.50,5.45,72.0,0,0,0,0,SL,Batsman
DPMD Jayawardene,9,7,0,21,9,3.00,58,36.20,0,0,2,2,0,SriLanka,2003,-,-,-,-,-,-,-,-,-,-,2,0,SL,Batsman
DPMD Jayawardene,11,11,2,548,115*,60.88,644,85.09,1,4,0,40,10,SriLanka,2007,-,-,-,-,-,-,-,-,-,-,5,0,SL,Batsman
DPMD Jayawardene,9,7,1,304,103*,50.66,304,100.00,2,1,0,32,1,SriLanka,2011,-,-,-,-,-,-,-,-,-,-,8,0,SL,Batsman
DPMD Jayawardene,7,5,0,125,100,25.00,168,74.40,1,0,1,9,1,SriLanka,2015,-,-,-,-,-,-,-,-,-,-,1,0,SL,Batsman
Khaled Mahmud,5,5,0,49,27,9.80,79,62.02,0,0,1,3,0,Bangladesh,1999,36.5,6,145,6,3/31,24.16,3.93,36.8,0,0,0,0,BDESH,Bowler
Khaled Mahmud,4,3,0,38,23,12.66,71,53.52,0,0,0,2,1,Bangladesh,2003,32.0,2,153,6,3/46,25.50,4.78,32.0,0,0,2,0,BDESH,Bowler
L Klusener,9,8,6,281,52*,140.50,230,122.17,0,2,0,26,10,SouthAfrica,1999,75.5,5,350,17,5/21,20.58,4.61,26.7,0,1,1,0,SA,All Rounder
L Klusener,5,3,2,91,57,91.00,77,118.18,0,1,0,5,6,SouthAfrica,2003,25.0,2,137,5,4/16,27.40,5.48,30.0,1,0,1,0,SA,All Rounder
DS Lehmann,9,8,2,136,76,22.66,172,79.06,0,1,1,14,0,Australia,1999,2.0,0,17,0,-,-,8.50,-,0,0,0,0,AUS,All Rounder
DS Lehmann,10,8,3,224,56*,44.80,272,82.35,0,2,0,20,3,Australia,2003,36.0,0,138,6,2/22,23.00,3.83,36.0,0,0,2,0,AUS,All Rounder
HK Olonga,7,5,4,13,5*,13.00,49,26.53,0,0,0,1,0,Zimbabwe,1999,36.2,1,230,8,3/22,28.75,6.33,27.2,0,0,1,0,ZIM,Bowler
HK Olonga,2,1,0,3,3,3.00,12,25.00,0,0,0,0,0,Zimbabwe,2003,7.0,1,29,1,1/21,29.00,4.14,42.0,0,0,0,0,ZIM,Bowler
Shahid Afridi,8,7,0,93,37,13.28,104,89.42,0,0,0,8,3,Pakistan,1999,22.0,1,115,1,1/26,115.00,5.22,132.0,0,0,3,0,PAK,All Rounder
Shahid Afridi,3,3,0,16,9,5.33,21,76.19,0,0,0,2,1,Pakistan,2003,26.3,0,144,3,2/36,48.00,5.43,53.0,0,0,2,0,PAK,All Rounder
Shahid Afridi,1,1,0,16,16,16.00,10,160.00,0,0,0,1,1,Pakistan,2007,4.0,0,20,3,3/20,6.66,5.00,8.0,0,0,0,0,PAK,All Rounder
Shahid Afridi,8,7,0,84,20,12.00,67,125.37,0,0,0,9,1,Pakistan,2011,74.3,4,270,21,5/16,12.85,3.62,21.2,2,2,5,0,PAK,All Rounder
Shahid Afridi,7,6,1,116,28,23.20,87,133.33,0,0,1,10,6,Pakistan,2015,57.0,2,282,2,2/35,141.00,4.94,171.0,0,0,3,0,PAK,All Rounder
Shoaib Akhtar,10,4,4,4,2*,-,15,26.66,0,0,0,0,0,Pakistan,1999,80.5,6,391,16,3/11,24.43,4.83,30.3,0,0,1,0,PAK,Bowler
Shoaib Akhtar,6,4,3,72,43,72.00,51,141.17,0,0,0,5,4,Pakistan,2003,44.0,2,252,11,4/46,22.90,5.72,24.0,1,0,1,0,PAK,Bowler
Shoaib Akhtar,3,1,0,0,0,0.00,2,0.00,0,0,1,0,0,Pakistan,2011,24.0,1,122,3,2/42,40.66,5.08,48.0,0,0,0,0,PAK,Bowler
A Bagai,6,6,1,56,28*,11.20,111,50.45,0,0,0,5,0,Canada,2003,-,-,-,-,-,-,-,-,-,-,8,2,CAN,Wicket Keeper
A Bagai,3,3,0,62,37,20.66,123,50.40,0,0,0,6,0,Canada,2007,-,-,-,-,-,-,-,-,-,-,3,0,CAN,Wicket Keeper
A Bagai,6,6,1,225,84,45.00,322,69.87,0,2,1,27,0,Canada,2011,-,-,-,-,-,-,-,-,-,-,8,0,CAN,Wicket Keeper
SE Bond,8,3,2,5,3,5.00,21,23.80,0,0,0,0,0,NewZealand,2003,78.0,12,305,17,6/23,17.94,3.91,27.5,0,1,3,0,NZ,Bowler
SE Bond,8,2,1,2,2,2.00,4,50.00,0,0,0,0,0,NewZealand,2007,69.4,9,213,13,3/31,16.38,3.05,32.1,0,0,3,0,NZ,Bowler
PD Collingwood,5,5,2,137,66*,45.66,184,74.45,0,1,0,10,1,England,2003,4.0,0,15,1,1/15,15.00,3.75,24.0,0,0,4,0,ENG,All Rounder
PD Collingwood,9,9,3,276,90,46.00,368,75.00,0,2,0,24,4,England,2007,58.0,0,292,6,2/33,48.66,5.03,58.0,0,0,8,0,ENG,All Rounder
PD Collingwood,4,4,1,61,30*,20.33,52,117.30,0,0,0,3,1,England,2011,23.0,0,116,1,1/46,116.00,5.04,138.0,0,0,1,0,ENG,All Rounder
JM Davison,6,6,0,226,111,37.66,190,118.94,1,1,1,21,12,Canada,2003,42.0,5,187,10,3/15,18.70,4.45,25.2,0,0,1,0,CAN,Bowler
JM Davison,3,3,0,81,52,27.00,75,108.00,0,1,0,14,1,Canada,2007,29.0,1,130,2,2/67,65.00,4.48,87.0,0,0,2,0,CAN,Bowler
JM Davison,5,5,1,33,15,8.25,43,76.74,0,0,2,6,0,Canada,2011,35.0,1,197,5,2/56,39.40,5.62,42.0,0,0,5,0,CAN,Bowler
CH Gayle,6,6,0,206,119,34.33,295,69.83,1,1,1,22,2,WestIndies,2003,34.0,2,168,4,2/60,42.00,4.94,51.0,0,0,3,0,WI,All Rounder
CH Gayle,9,9,0,228,79,25.33,272,83.82,0,1,0,28,6,WestIndies,2007,59.1,1,281,5,2/23,56.20,4.74,71.0,0,0,2,0,WI,All Rounder
CH Gayle,5,5,1,170,80,42.50,179,94.97,0,1,0,23,3,WestIndies,2011,6.0,0,26,0,-,-,4.33,-,0,0,3,0,WI,All Rounder
CH Gayle,6,6,0,340,215,56.66,290,117.24,1,1,0,17,26,WestIndies,2015,18.0,0,97,5,2/21,19.40,5.38,21.6,0,0,5,0,WI,All Rounder
CH Gayle,9,8,0,242,87,30.25,274,88.32,0,2,1,26,12,WestIndies,2019,15.0,0,80,2,1/8,40.00,5.33,45.0,0,0,4,0,WI,All Rounder
AJ Hall,3,1,1,22,22*,-,11,200.00,0,0,0,2,1,SouthAfrica,2003,23.0,3,103,5,2/15,20.60,4.47,27.6,0,0,0,0,SA,Bowler
AJ Hall,9,4,1,28,17,9.33,38,73.68,0,0,1,1,0,SouthAfrica,2007,76.0,5,335,14,5/18,23.92,4.40,32.5,0,1,2,0,SA,Bowler
ML Hayden,11,11,1,328,88,32.80,410,80.00,0,1,0,37,5,Australia,2003,-,-,-,-,-,-,-,-,-,-,0,0,AUS,Batsman
ML Hayden,11,10,1,659,158,73.22,652,101.07,3,1,0,69,18,Australia,2007,-,-,-,-,-,-,-,-,-,-,7,0,AUS,Batsman
Z Khan,11,5,1,18,13*,4.50,27,66.66,0,0,2,2,0,India,2003,88.2,5,374,18,4/42,20.77,4.23,29.4,1,0,6,0,INDIA,Bowler
Z Khan,3,2,1,16,15*,16.00,22,72.72,0,0,0,2,0,India,2007,29.0,3,122,5,2/32,24.40,4.20,34.8,0,0,0,0,INDIA,Bowler
Z Khan,9,4,0,18,9,4.50,21,85.71,0,0,1,2,0,India,2011,81.3,4,394,21,3/20,18.76,4.83,23.2,0,0,4,0,INDIA,Bowler
B Lee,10,3,1,23,15*,11.50,35,65.71,0,0,0,0,2,Australia,2003,83.1,9,394,22,5/42,17.90,4.73,22.6,0,1,8,0,AUS,Bowler
B Lee,7,1,0,5,5,5.00,8,62.50,0,0,0,1,0,Australia,2011,54.2,6,235,13,4/28,18.07,4.32,25.0,2,0,4,0,AUS,Bowler
A Nehra,9,1,1,8,8*,-,4,200.00,0,0,0,2,0,India,2003,69.1,9,289,15,6/23,19.26,4.17,27.6,1,1,0,0,INDIA,Bowler
A Nehra,3,2,0,1,1,0.50,5,20.00,0,0,1,0,0,India,2011,23.4,1,120,3,2/33,40.00,5.07,47.3,0,0,1,0,INDIA,Bowler
M Ntini,6,2,0,14,14,7.00,8,175.00,0,0,1,1,1,SouthAfrica,2003,52.1,6,176,10,4/24,17.60,3.37,31.3,1,0,0,0,SA,Bowler
M Ntini,7,3,0,15,8,5.00,20,75.00,0,0,1,2,0,SouthAfrica,2007,63.0,4,293,6,2/26,48.83,4.65,63.0,0,0,1,0,SA,Bowler
CO Obuya,9,7,1,88,29,14.66,137,64.23,0,0,1,4,2,Kenya,2003,77.5,4,374,13,5/24,28.76,4.80,35.9,0,1,4,0,KENYA,All Rounder
CO Obuya,3,2,0,31,21,15.50,44,70.45,0,0,0,2,0,Kenya,2007,3.0,0,8,0,-,-,2.66,-,0,0,1,0,KENYA,All Rounder
CO Obuya,6,6,1,243,98*,48.60,347,70.02,0,2,0,21,7,Kenya,2011,11.4,0,80,1,1/33,80.00,6.85,70.0,0,0,1,0,KENYA,All Rounder
KC Sangakkara,10,9,2,176,39*,25.14,239,73.64,0,0,0,16,0,SriLanka,2003,-,-,-,-,-,-,-,-,-,-,15,2,SL,Wicket Keeper
KC Sangakkara,11,11,1,350,76,35.00,465,75.26,0,4,1,30,2,SriLanka,2007,-,-,-,-,-,-,-,-,-,-,11,4,SL,Wicket Keeper
KC Sangakkara,9,8,3,465,111,93.00,555,83.78,1,3,0,44,5,SriLanka,2011,-,-,-,-,-,-,-,-,-,-,10,4,SL,Wicket Keeper
KC Sangakkara,7,7,2,541,124,108.20,511,105.87,4,0,0,57,7,SriLanka,2015,-,-,-,-,-,-,-,-,-,-,5,3,SL,Wicket Keeper
RR Sarwan,5,5,3,209,75,104.50,218,95.87,0,1,0,23,4,WestIndies,2003,-,-,-,-,-,-,-,-,-,-,1,0,WI,Batsman
RR Sarwan,9,9,1,375,92,46.87,481,77.96,0,2,0,32,5,WestIndies,2007,13.0,1,73,2,1/17,36.50,5.61,39.0,0,0,1,0,WI,Batsman
RR Sarwan,7,6,0,155,49,25.83,275,56.36,0,0,0,16,1,WestIndies,2011,-,-,-,-,-,-,-,-,-,-,1,0,WI,Batsman
V Sehwag,11,11,0,299,82,27.18,345,86.66,0,2,0,37,7,India,2003,22.0,2,88,2,1/3,44.00,4.00,66.0,0,0,8,0,INDIA,Batsman
V Sehwag,3,3,0,164,114,54.66,139,117.98,1,0,0,22,4,India,2007,10.0,0,32,2,2/17,16.00,3.20,30.0,0,0,0,0,INDIA,Batsman
V Sehwag,8,8,0,380,175,47.50,310,122.58,1,1,1,49,7,India,2011,-,-,-,-,-,-,-,-,-,-,3,0,INDIA,Batsman
GC Smith,3,3,0,121,63,40.33,141,85.81,0,1,0,16,0,SouthAfrica,2003,1.0,0,10,0,-,-,10.00,-,0,0,2,0,SA,Batsman
GC Smith,10,10,1,443,91,49.22,424,104.48,0,5,0,55,6,SouthAfrica,2007,25.0,0,152,4,2/56,38.00,6.08,37.5,0,0,8,0,SA,Batsman
GC Smith,7,7,0,183,45,26.14,300,61.00,0,0,0,13,0,SouthAfrica,2011,-,-,-,-,-,-,-,-,-,-,5,0,SA,Batsman
SB Styris,8,7,2,268,141,53.60,263,101.90,1,1,0,12,9,NewZealand,2003,34.4,0,183,4,2/23,45.75,5.27,52.0,0,0,5,0,NZ,All Rounder
SB Styris,10,9,3,499,111*,83.16,598,83.44,1,4,0,45,6,NewZealand,2007,57.0,3,242,9,4/43,26.88,4.24,38.0,1,0,5,0,NZ,All Rounder
SB Styris,8,6,0,142,57,23.66,165,86.06,0,1,1,12,2,NewZealand,2011,28.4,0,127,4,2/17,31.75,4.43,43.0,0,0,3,0,NZ,All Rounder
A Symonds,9,5,3,326,143*,163.00,360,90.55,1,2,1,32,6,Australia,2003,27.0,1,123,2,2/7,61.50,4.55,81.0,0,0,4,0,AUS,Batsman
A Symonds,9,8,5,189,63*,63.00,192,98.43,0,1,0,19,4,Australia,2007,22.2,1,135,3,1/6,45.00,6.04,44.6,0,0,3,0,AUS,Batsman
DL Vettori,7,3,0,36,13,12.00,74,48.64,0,0,0,5,0,NewZealand,2003,65.0,1,259,2,1/38,129.50,3.98,195.0,0,0,0,0,NZ,Bowler
DL Vettori,10,5,1,28,14*,7.00,29,96.55,0,0,1,3,0,NewZealand,2007,97.4,2,447,16,4/23,27.93,4.57,36.6,1,0,2,0,NZ,Bowler
DL Vettori,6,3,1,53,44,26.50,50,106.00,0,0,0,6,0,NewZealand,2011,43.0,4,155,3,2/25,51.66,3.60,86.0,0,0,1,0,NZ,Bowler
DL Vettori,9,6,4,50,16*,25.00,46,108.69,0,0,0,6,1,NewZealand,2015,75.5,5,307,15,4/18,20.46,4.04,30.3,1,0,6,0,NZ,Bowler
Yuvraj Singh,11,10,3,240,58*,34.28,281,85.40,0,2,1,23,2,India,2003,14.3,2,70,5,4/6,14.00,4.82,17.4,1,0,1,0,INDIA,All Rounder
Yuvraj Singh,3,3,0,136,83,45.33,116,117.24,0,1,0,6,8,India,2007,3.0,0,15,0,-,-,5.00,-,0,0,0,0,INDIA,All Rounder
Yuvraj Singh,9,8,4,362,113,90.50,420,86.19,1,4,1,39,3,India,2011,75.0,2,377,15,5/31,25.13,5.02,30.0,0,1,3,0,INDIA,All Rounder
Abdur Razzak,9,6,1,29,15,5.80,54,53.70,0,0,2,3,0,Bangladesh,2007,73.4,4,344,13,3/20,26.46,4.66,34.0,0,0,2,0,BDESH,Bowler
Abdur Razzak,6,5,1,15,11,3.75,34,44.11,0,0,1,0,0,Bangladesh,2011,48.0,5,220,7,3/29,31.42,4.58,41.1,0,0,0,0,BDESH,Bowler
DJ Bravo,9,8,2,129,37*,21.50,158,81.64,0,0,0,10,2,WestIndies,2007,64.5,4,361,13,3/42,27.76,5.56,29.9,0,0,5,0,WI,All Rounder
DJ Bravo,1,1,0,40,40,40.00,37,108.10,0,0,0,1,3,WestIndies,2011,2.1,0,12,0,-,-,5.53,-,0,0,0,0,WI,All Rounder
MJ Clarke,11,9,4,436,93*,87.20,459,94.98,0,4,0,40,7,Australia,2007,17.0,0,96,2,2/33,48.00,5.64,51.0,0,0,5,0,AUS,Batsman
MJ Clarke,7,6,3,233,93,77.66,256,91.01,0,2,0,20,1,Australia,2011,8.0,0,40,0,-,-,5.00,-,0,0,2,0,AUS,Batsman
MJ Clarke,7,6,0,219,74,36.50,228,96.05,0,2,0,25,3,Australia,2015,5.0,0,14,1,1/14,14.00,2.80,30.0,0,0,5,0,AUS,Batsman
AB de Villiers,10,10,0,372,146,37.20,369,100.81,1,2,4,47,9,SouthAfrica,2007,-,-,-,-,-,-,-,-,-,-,5,0,SA,Batsman
AB de Villiers,5,5,1,353,134,88.25,326,108.28,2,1,0,31,7,SouthAfrica,2011,-,-,-,-,-,-,-,-,-,-,1,0,SA,Batsman
AB de Villiers,8,7,2,482,162*,96.40,334,144.31,1,3,0,43,21,SouthAfrica,2015,14.0,0,86,4,2/15,21.50,6.14,21.0,0,0,6,0,SA,Batsman
MS Dhoni,3,3,0,29,29,9.66,29,100.00,0,0,2,2,1,India,2007,-,-,-,-,-,-,-,-,-,-,5,2,INDIA,Wicket Keeper
MS Dhoni,9,8,3,241,91*,48.20,295,81.69,0,1,0,19,3,India,2011,-,-,-,-,-,-,-,-,-,-,7,3,INDIA,Wicket Keeper
MS Dhoni,8,6,2,237,85*,59.25,232,102.15,0,2,0,18,6,India,2015,-,-,-,-,-,-,-,-,-,-,15,0,INDIA,Wicket Keeper
MS Dhoni,9,8,2,273,56*,45.50,311,87.78,0,2,0,20,5,India,2019,-,-,-,-,-,-,-,-,-,-,7,3,INDIA,Wicket Keeper
TM Dilshan,11,9,2,217,58,31.00,236,91.94,0,1,0,15,2,SriLanka,2007,36.5,3,158,5,2/22,31.60,4.28,44.2,0,0,3,0,SL,All Rounder
TM Dilshan,9,9,1,500,144,62.50,551,90.74,2,2,0,61,4,SriLanka,2011,31.0,2,126,8,4/4,15.75,4.06,23.2,1,0,6,0,SL,All Rounder
TM Dilshan,7,7,1,395,161*,65.83,409,96.57,2,1,2,46,3,SriLanka,2015,33.2,0,163,5,2/35,32.60,4.89,40.0,0,0,3,0,SL,All Rounder
DT Johnston,8,8,2,129,30,21.50,144,89.58,0,0,1,8,5,Ireland,2007,50.2,3,258,8,2/40,32.25,5.12,37.7,0,0,5,0,IRE,All Rounder
DT Johnston,5,4,1,42,17,14.00,46,91.30,0,0,0,4,1,Ireland,2011,43.2,2,240,8,2/16,30.00,5.53,32.5,0,0,3,0,IRE,All Rounder
Kamran Akmal,3,3,0,42,27,14.00,74,56.75,0,0,1,6,0,Pakistan,2007,-,-,-,-,-,-,-,-,-,-,3,2,PAK,Wicket Keeper
Kamran Akmal,8,7,1,207,55,34.50,278,74.46,0,1,0,28,0,Pakistan,2011,-,-,-,-,-,-,-,-,-,-,8,4,PAK,Wicket Keeper
SL Malinga,8,3,1,12,10,6.00,15,80.00,0,0,0,0,1,SriLanka,2007,58.2,6,284,18,4/54,15.77,4.86,19.4,1,0,2,0,SL,Bowler
SL Malinga,7,1,0,6,6,6.00,4,150.00,0,0,0,0,1,SriLanka,2011,48.4,0,270,13,6/38,20.76,5.54,22.4,0,1,0,0,SL,Bowler
SL Malinga,7,4,1,4,3,1.33,12,33.33,0,0,1,0,0,SriLanka,2015,63.4,1,354,12,3/35,29.50,5.56,31.8,0,0,3,0,SL,Bowler
SL Malinga,7,5,0,11,4,2.20,28,39.28,0,0,0,2,0,SriLanka,2019,61.4,4,373,13,4/43,28.69,6.04,28.4,1,0,0,0,SL,Bowler
Mohammad Hafeez,2,2,0,15,11,7.50,34,44.11,0,0,0,3,0,Pakistan,2007,13.0,0,54,3,2/39,18.00,4.15,26.0,0,0,2,0,PAK,All Rounder
Mohammad Hafeez,8,8,1,215,61*,30.71,265,81.13,0,1,0,32,1,Pakistan,2011,55.0,4,193,8,2/16,24.12,3.50,41.2,0,0,0,0,PAK,All Rounder
Mohammad Hafeez,8,8,0,253,84,31.62,285,88.77,0,1,0,22,5,Pakistan,2019,32.0,1,189,2,1/43,94.50,5.90,96.0,0,0,5,0,PAK,All Rounder
CB Mpofu,3,2,0,1,1,0.50,10,10.00,0,0,1,0,0,Zimbabwe,2007,29.0,5,166,4,2/58,41.50,5.72,43.5,0,0,0,0,ZIM,Bowler
CB Mpofu,4,3,1,6,3*,3.00,21,28.57,0,0,0,0,0,Zimbabwe,2011,27.0,1,159,7,4/62,22.71,5.88,23.1,1,0,1,0,ZIM,Bowler
Mushfiqur Rahim,9,8,3,131,56*,26.20,273,47.98,0,1,1,9,2,Bangladesh,2007,-,-,-,-,-,-,-,-,-,-,3,0,BDESH,Wicket Keeper
Mushfiqur Rahim,6,6,1,81,36,16.20,153,52.94,0,0,1,6,1,Bangladesh,2011,-,-,-,-,-,-,-,-,-,-,3,4,BDESH,Wicket Keeper
Mushfiqur Rahim,6,6,0,298,89,49.66,282,105.67,0,3,0,26,5,Bangladesh,2015,-,-,-,-,-,-,-,-,-,-,7,1,BDESH,Wicket Keeper
Mushfiqur Rahim,8,8,1,367,102*,52.42,396,92.67,1,2,0,30,2,Bangladesh,2019,-,-,-,-,-,-,-,-,-,-,8,2,BDESH,Wicket Keeper
KJ O'Brien,8,8,1,170,49,24.28,263,64.63,0,0,0,13,5,Ireland,2007,18.0,1,100,3,1/8,33.33,5.55,36.0,0,0,1,0,IRE,All Rounder
KJ O'Brien,6,6,1,198,113,39.60,158,125.31,1,0,0,19,9,Ireland,2011,17.0,0,115,4,4/71,28.75,6.76,25.5,1,0,3,0,IRE,All Rounder
KJ O'Brien,6,6,0,131,50,21.83,131,100.00,0,1,1,16,3,Ireland,2015,49.5,0,408,6,2/61,68.00,8.18,49.8,0,0,3,0,IRE,All Rounder
KP Pietersen,9,9,1,444,104,55.50,548,81.02,2,3,0,36,5,England,2007,1.0,0,2,0,-,-,2.00,-,0,0,2,0,ENG,Batsman
KP Pietersen,4,4,0,131,59,32.75,136,96.32,0,1,0,17,2,England,2011,10.0,0,49,0,-,-,4.90,-,0,0,1,0,ENG,Batsman
WTS Porterfield,9,9,0,172,85,19.11,379,45.38,0,1,2,7,0,Ireland,2007,-,-,-,-,-,-,-,-,-,-,5,0,IRE,Batsman
WTS Porterfield,6,6,0,180,75,30.00,270,66.66,0,2,1,21,1,Ireland,2011,-,-,-,-,-,-,-,-,-,-,4,0,IRE,Batsman
WTS Porterfield,6,6,0,275,107,45.83,409,67.23,1,1,0,22,3,Ireland,2015,-,-,-,-,-,-,-,-,-,-,5,0,IRE,Batsman
D Ramdin,9,6,1,84,52,16.80,94,89.36,0,1,0,9,0,WestIndies,2007,-,-,-,-,-,-,-,-,-,-,13,0,WI,Wicket Keeper
D Ramdin,7,6,1,107,51,21.40,151,70.86,0,1,2,11,0,WestIndies,2015,-,-,-,-,-,-,-,-,-,-,13,0,WI,Wicket Keeper
WB Rankin,9,4,3,15,7*,15.00,45,33.33,0,0,1,1,0,Ireland,2007,59.2,4,324,12,3/32,27.00,5.46,29.6,0,0,1,0,IRE,Bowler
WB Rankin,6,4,3,9,5*,9.00,25,36.00,0,0,0,0,0,Ireland,2011,55.0,2,315,3,1/35,105.00,5.72,110.0,0,0,1,0,IRE,Bowler
Shakib Al Hasan,9,9,2,202,57*,28.85,353,57.22,0,2,1,15,3,Bangladesh,2007,60.5,0,302,7,2/12,43.14,4.96,52.1,0,0,1,0,BDESH,All Rounder
Shakib Al Hasan,6,6,0,142,55,23.66,200,71.00,0,1,0,14,0,Bangladesh,2011,46.2,0,223,8,2/28,27.87,4.81,34.7,0,0,2,0,BDESH,All Rounder
Shakib Al Hasan,6,6,1,196,63,39.20,209,93.77,0,2,0,18,3,Bangladesh,2015,57.4,1,298,8,4/55,37.25,5.16,43.2,1,0,2,0,BDESH,All Rounder
Shakib Al Hasan,8,8,1,606,124*,86.57,631,96.03,2,5,0,60,2,Bangladesh,2019,74.0,1,399,11,5/29,36.27,5.39,40.3,0,1,3,0,BDESH,All Rounder
SW Tait,11,-,-,-,-,-,-,-,-,-,-,-,-,Australia,2007,84.3,1,467,23,4/39,20.30,5.52,22.0,1,0,1,0,AUS,Bowler
SW Tait,7,1,1,0,0*,-,1,0.00,0,0,0,0,0,Australia,2011,52.0,3,264,11,3/35,24.00,5.07,28.3,0,0,1,0,AUS,Bowler
BRM Taylor,3,3,0,87,50,29.00,178,48.87,0,1,0,5,1,Zimbabwe,2007,-,-,-,-,-,-,-,-,-,-,4,1,ZIM,Wicket Keeper
BRM Taylor,6,6,0,170,80,28.33,195,87.17,0,1,1,20,1,Zimbabwe,2011,3.0,0,23,0,-,-,7.66,-,0,0,0,0,ZIM,Wicket Keeper
BRM Taylor,6,6,0,433,138,72.16,405,106.91,2,1,0,43,12,Zimbabwe,2015,-,-,-,-,-,-,-,-,-,-,4,0,ZIM,Wicket Keeper
JE Taylor,7,4,0,37,13,9.25,41,90.24,0,0,0,4,0,WestIndies,2007,64.0,3,306,6,2/42,51.00,4.78,64.0,0,0,0,0,WI,Bowler
JE Taylor,7,3,1,37,15*,18.50,48,77.08,0,0,0,5,0,WestIndies,2015,57.3,2,328,17,3/15,19.29,5.70,20.2,0,0,1,0,WI,Bowler
LRPL Taylor,6,6,0,107,85,17.83,158,67.72,0,1,2,10,1,NewZealand,2007,-,-,-,-,-,-,-,-,-,-,1,0,NZ,Batsman
LRPL Taylor,8,6,1,324,131*,64.80,372,87.09,1,1,0,20,14,NewZealand,2011,-,-,-,-,-,-,-,-,-,-,5,0,NZ,Batsman
LRPL Taylor,9,9,2,221,56,31.57,359,61.55,0,1,0,17,0,NewZealand,2015,-,-,-,-,-,-,-,-,-,-,5,0,NZ,Batsman
LRPL Taylor,10,9,0,350,82,38.88,465,75.26,0,3,0,29,2,NewZealand,2019,-,-,-,-,-,-,-,-,-,-,0,0,NZ,Batsman
RN ten Doeschate,3,3,1,128,70*,64.00,148,86.48,0,2,0,21,2,Netherlands,2007,20.0,0,151,2,2/76,75.50,7.55,60.0,0,0,2,0,NL,All Rounder
RN ten Doeschate,6,6,1,307,119,61.40,344,89.24,2,1,0,26,5,Netherlands,2011,52.0,2,322,7,3/72,46.00,6.19,44.5,0,0,2,0,NL,All Rounder
WU Tharanga,11,11,0,298,73,27.09,446,66.81,0,3,1,27,2,SriLanka,2007,-,-,-,-,-,-,-,-,-,-,2,0,SL,Batsman
WU Tharanga,9,9,2,395,133,56.42,472,83.68,2,1,0,52,2,SriLanka,2011,-,-,-,-,-,-,-,-,-,-,2,0,SL,Batsman
WU Tharanga,1,1,0,4,4,4.00,5,80.00,0,0,0,0,0,SriLanka,2015,-,-,-,-,-,-,-,-,-,-,0,0,SL,Batsman
Umar Gul,3,3,0,11,10,3.66,20,55.00,0,0,1,2,0,Pakistan,2007,23.0,2,72,4,2/10,18.00,3.13,34.5,0,0,1,0,PAK,Bowler
