Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
Imran Nazir,2007-2007,3,3,0,190,160,63.33,175,108.57,1,0,0,17,9,Pakistan
Inzamam-ul-Haq,1992-2007,35,33,3,717,81,23.90,961,74.60,0,4,4,54,7,Pakistan
Iqbal Sikander,1992-1992,4,1,1,1,1*,-,3,33.33,0,0,0,0,0,Pakistan
Javed Miandad,1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3,Pakistan
Kamran Akmal,2007-2011,11,10,1,249,55,27.66,352,70.73,0,1,1,34,0,Pakistan
Majid Khan,1975-1979,7,7,0,359,84,51.28,524,68.51,0,5,0,41,2,Pakistan
Mansoor Akhtar,1983-1987,8,8,0,108,33,13.50,247,43.72,0,0,0,8,0,Pakistan
Manzoor Elahi,1987-1987,1,1,1,4,4*,-,6,66.66,0,0,0,0,0,Pakistan
Misbah-ul-Haq,2011-2015,15,13,1,598,83*,49.83,802,74.56,0,7,1,38,10,Pakistan
Mohammad Amir,2019-2019,8,3,1,11,8,5.50,14,78.57,0,0,1,1,0,Pakistan
Mohammad Hafeez,2007-2019,18,18,1,483,84,28.41,584,82.70,0,2,0,57,6,Pakistan
Mohammad Irfan,2015-2015,5,3,3,4,2*,-,19,21.05,0,0,0,0,0,Pakistan
Mohammad Sami,2003-2007,3,2,0,17,12,8.50,44,38.63,0,0,0,1,0,Pakistan
Mohammad Yousuf,1999-2007,13,13,1,386,81*,32.16,549,70.30,0,2,1,28,1,Pakistan
Mohsin Khan,1983-1983,7,7,0,223,82,31.85,505,44.15,0,2,1,12,1,Pakistan
Moin Khan,1992-1999,20,14,4,286,63,28.60,269,106.31,0,1,0,23,7,Pakistan
Mudassar Nazar,1979-1987,12,10,1,149,40,16.55,361,41.27,0,0,2,9,0,Pakistan
Mushtaq Ahmed,1992-1996,15,5,1,27,17,6.75,58,46.55,0,0,1,1,0,Pakistan
Mushtaq Mohammad,1975-1975,3,3,0,89,55,29.66,164,54.26,0,1,0,5,0,Pakistan
Naseer Malik,1975-1975,3,1,1,0,0*,-,13,0.00,0,0,0,0,0,Pakistan
Nasir Jamshed,2015-2015,3,3,0,5,4,1.66,23,21.73,0,0,1,0,0,Pakistan
Naved-ul-Hasan,2007-2007,1,1,0,11,11,11.00,29,37.93,0,0,0,0,0,Pakistan
Pervez Mir,1975-1975,2,2,1,8,4*,8.00,16,50.00,0,0,0,0,0,Pakistan
Rahat Ali,2015-2015,5,2,1,7,6*,7.00,27,25.92,0,0,0,0,0,Pakistan
Ramiz Raja,1987-1996,16,16,3,700,119*,53.84,1092,64.10,3,2,0,50,0,Pakistan
Rashid Khan,1983-1983,7,1,0,9,9,9.00,21,42.85,0,0,0,0,0,Pakistan
Rashid Latif,1996-2003,12,7,1,148,36,24.66,133,111.27,0,0,2,10,5,Pakistan
Sadiq Mohammad,1975-1979,7,7,1,189,74,31.50,352,53.69,0,2,0,23,1,Pakistan
Saeed Ajmal,2011-2011,3,2,1,1,1*,1.00,10,10.00,0,0,1,0,0,Pakistan
Saeed Anwar,1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,0,90,6,Pakistan
Saleem Elahi,2003-2003,4,4,0,102,63,25.50,150,68.00,0,1,0,9,0,Pakistan
Saleem Jaffar,1987-1987,5,3,2,9,8*,9.00,21,42.85,0,0,1,0,0,Pakistan
Saleem Malik,1987-1999,27,23,5,591,100,32.83,715,82.65,1,4,2,52,0,Pakistan
Saleem Yousuf,1987-1987,7,6,3,112,56,37.33,91,123.07,0,1,0,9,1,Pakistan
Saqlain Mushtaq,1996-2003,14,10,6,56,21,14.00,121,46.28,0,0,2,4,0,Pakistan
Sarfaraz Ahmed,2015-2019,11,11,4,303,101*,43.28,353,85.83,1,1,0,21,3,Pakistan
Sarfraz Nawaz,1975-1983,11,8,1,65,17,9.28,88,73.86,0,0,1,6,1,Pakistan
Shadab Khan,2019-2019,7,6,3,43,20*,14.33,39,110.25,0,0,1,4,0,Pakistan
Shaheen Shah Afridi,2019-2019,5,2,2,1,1*,-,6,16.66,0,0,0,0,0,Pakistan
Shahid Afridi,1999-2015,27,24,1,325,37,14.13,289,112.45,0,0,1,30,12,Pakistan
Shahid Mahboob,1983-1983,5,3,0,100,77,33.33,167,59.88,0,1,0,8,0,Pakistan
Shoaib Akhtar,1999-2011,19,9,7,76,43,38.00,68,111.76,0,0,1,5,4,Pakistan
Shoaib Malik,2007-2019,6,6,0,100,62,16.66,122,81.96,0,1,2,10,2,Pakistan
Shoaib Mohammad,1987-1987,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,Pakistan
Sikander Bakht,1979-1979,4,2,1,3,2,3.00,23,13.04,0,0,0,0,0,Pakistan
Sohaib Maqsood,2015-2015,7,6,0,153,50,25.50,176,86.93,0,1,1,12,3,Pakistan
Sohail Khan,2015-2015,7,5,1,21,7,5.25,42,50.00,0,0,0,1,0,Pakistan
Tahir Naqqash,1983-1983,1,1,1,0,0*,-,0,-,0,0,0,0,0,Pakistan
Taufeeq Umar,2003-2003,3,3,0,91,48,30.33,146,62.32,0,0,0,14,0,Pakistan
Tauseef Ahmed,1987-1987,6,2,0,1,1,0.50,4,25.00,0,0,1,0,0,Pakistan
Umar Akmal,2011-2015,14,13,2,404,71,36.72,480,84.16,0,2,1,38,7,Pakistan
Umar Gul,2007-2011,11,6,2,49,34*,12.25,52,94.23,0,0,1,5,1,Pakistan
Wahab Riaz,2011-2019,20,14,3,179,54*,16.27,171,104.67,0,1,2,15,8,Pakistan
Wajahatullah Wasti,1999-1999,5,5,0,151,84,30.20,266,56.76,0,1,0,18,2,Pakistan
Waqar Younis,1996-2003,13,6,1,32,11,6.40,64,50.00,0,0,0,1,0,Pakistan
Wasim Akram,1987-2003,38,30,8,426,43,19.36,421,101.18,0,0,3,36,11,Pakistan
Wasim Bari,1975-1983,14,8,4,87,34,21.75,166,52.40,0,0,0,5,0,Pakistan
Wasim Haider,1992-1992,3,2,0,26,13,13.00,70,37.14,0,0,0,1,0,Pakistan
Wasim Raja,1975-1983,8,8,0,154,58,19.25,203,75.86,0,1,1,21,1,Pakistan
Yasir Shah,2015-2015,1,1,0,13,13,13.00,23,56.52,0,0,0,1,0,Pakistan
Younis Khan,2003-2015,19,18,2,349,72,21.81,493,70.79,0,2,3,23,1,Pakistan
Zaheer Abbas,1975-1983,14,14,2,597,103*,49.75,762,78.34,1,4,2,55,4,Pakistan
Zahid Fazal,1992-1992,2,2,0,13,11,6.50,50,26.00,0,0,0,1,0,Pakistan
MJD Allingham,1999-1999,3,3,0,11,6,3.66,96,11.45,0,0,0,0,0,Scotland
Asim Butt,1999-1999,5,4,0,23,11,5.75,28,82.14,0,0,0,0,2,Scotland
RD Berrington,2015-2015,6,6,0,139,50,23.16,183,75.95,0,1,0,9,5,Scotland
JAR Blain,1999-2007,8,7,2,56,23,11.20,113,49.55,0,0,2,2,2,Scotland
JE Brinkley,1999-1999,5,5,0,52,23,10.40,118,44.06,0,0,1,6,0,Scotland
DR Brown,2007-2007,3,3,1,64,45*,32.00,102,62.74,0,0,1,6,0,Scotland
KJ Coetzer,2015-2015,6,6,0,253,156,42.16,282,89.71,1,1,2,33,4,Scotland
FRJ Coleman,2015-2015,3,3,0,77,70,25.66,97,79.38,0,1,1,7,0,Scotland
MH Cross,2015-2015,6,6,0,88,23,14.66,120,73.33,0,0,0,7,1,Scotland
JH Davey,2015-2015,6,6,2,55,26,13.75,88,62.50,0,0,0,5,0,Scotland
AG Davies,1999-1999,5,5,1,83,32,20.75,154,53.89,0,0,1,7,0,Scotland
NR Dyer,1999-1999,5,4,3,3,2*,3.00,14,21.42,0,0,1,0,0,Scotland
AC Evans,2015-2015,4,4,2,38,28,19.00,57,66.66,0,0,0,5,0,Scotland
HJW Gardiner,2015-2015,3,3,0,24,19,8.00,53,45.28,0,0,1,3,0,Scotland
GM Hamilton,1999-2007,8,8,1,228,76,32.57,360,63.33,0,2,0,15,4,Scotland
RM Haq,2007-2015,7,7,0,82,31,11.71,150,54.66,0,0,1,11,0,Scotland
PJC Hoffmann,2007-2007,3,3,1,25,18,12.50,19,131.57,0,0,0,4,1,Scotland
MA Leask,2015-2015,2,2,1,25,23*,25.00,18,138.88,0,0,0,4,0,Scotland
NFI McCallum,2007-2007,2,2,0,25,24,12.50,64,39.06,0,0,0,3,1,Scotland
MW Machan,2015-2015,6,6,0,186,56,31.00,230,80.86,0,1,0,21,2,Scotland
CS MacLeod,2015-2015,6,6,0,48,22,8.00,63,76.19,0,0,2,8,0,Scotland
PL Mommsen,2015-2015,6,6,0,148,60,24.66,194,76.28,0,1,2,16,1,Scotland
JD Nel,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-,Scotland
BMW Patterson,1999-1999,3,3,0,10,10,3.33,43,23.25,0,0,2,2,0,Scotland
IL Philip,1999-1999,3,3,0,20,17,6.66,89,22.47,0,0,1,0,0,Scotland
NS Poonia,2007-2007,2,2,0,1,1,0.50,6,16.66,0,0,1,0,0,Scotland
GA Rogers,2007-2007,3,2,0,32,26,16.00,49,65.30,0,0,0,5,0,Scotland
G Salmond,1999-1999,5,5,0,57,31,11.40,109,52.29,0,0,0,5,0,Scotland
CJO Smith,2007-2007,3,3,0,85,51,28.33,129,65.89,0,1,0,13,0,Scotland
MJ Smith,1999-1999,5,5,0,19,13,3.80,85,22.35,0,0,0,1,0,Scotland
IM Stanger,1999-1999,4,4,0,47,27,11.75,144,32.63,0,0,0,1,0,Scotland
RML Taylor,2015-2015,3,3,0,7,4,2.33,18,38.88,0,0,1,0,0,Scotland
I Wardlaw,2015-2015,5,4,2,1,1*,0.50,5,20.00,0,0,2,0,0,Scotland
RR Watson,2007-2007,3,3,0,53,31,17.66,107,49.53,0,0,0,7,0,Scotland
DF Watts,2007-2007,2,2,0,33,24,16.50,69,47.82,0,0,0,2,1,Scotland
JG Williamson,1999-1999,2,2,0,11,10,5.50,35,31.42,0,0,0,0,0,Scotland
CM Wright,2007-2007,2,2,0,5,4,2.50,28,17.85,0,0,0,0,0,Scotland
KJ Abbott,2015-2015,4,1,0,12,12,12.00,19,63.15,0,0,0,2,0,SouthAfrica
PR Adams,1996-1996,2,1,0,10,10,10.00,14,71.42,0,0,0,0,0,SouthAfrica
HM Amla,2011-2019,22,22,2,842,159,42.10,1012,83.20,2,5,0,76,6,SouthAfrica
F Behardien,2015-2015,4,2,2,74,64*,-,36,205.55,0,1,0,5,4,SouthAfrica
N Boje,1999-2003,5,2,1,54,29,54.00,62,87.09,0,0,0,6,0,SouthAfrica
T Bosch,1992-1992,1,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
LE Bosman,2007-2007,1,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
J Botha,2011-2011,5,4,1,58,23,19.33,59,98.30,0,0,0,5,1,SouthAfrica
MV Boucher,1999-2007,25,19,5,381,75*,27.21,405,94.07,0,2,2,26,15,SouthAfrica
WJ Cronje,1992-1999,23,20,4,476,78,29.75,591,80.54,0,2,2,33,8,SouthAfrica
DJ Cullinan,1996-1999,15,15,3,471,69,39.25,696,67.67,0,3,1,37,6,SouthAfrica
Q de Kock,2015-2019,17,17,2,450,78*,30.00,526,85.55,0,4,1,55,4,SouthAfrica
AB de Villiers,2007-2015,23,22,3,1207,162*,63.52,1029,117.29,4,6,4,121,37,SouthAfrica
PS de Villiers,1996-1996,1,1,0,12,12,12.00,11,109.09,0,0,0,1,0,SouthAfrica
HH Dippenaar,2003-2003,6,3,0,108,80,36.00,158,68.35,0,1,0,9,1,SouthAfrica
AA Donald,1992-2003,25,5,2,13,7,4.33,40,32.50,0,0,1,0,0,SouthAfrica
JP Duminy,2011-2019,18,16,3,458,115*,35.23,461,99.34,1,1,1,31,9,SouthAfrica
F du Plessis,2011-2019,23,21,5,926,109,57.87,1070,86.54,2,7,0,74,11,SouthAfrica
S Elworthy,1999-1999,8,3,0,25,23,8.33,47,53.19,0,0,0,3,0,SouthAfrica
HH Gibbs,1999-2007,25,23,4,1067,143,56.15,1221,87.38,2,8,1,106,28,SouthAfrica
AJ Hall,2003-2007,12,5,2,50,22*,16.66,49,102.04,0,0,1,3,1,SouthAfrica
BE Hendricks,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
O Henry,1992-1992,1,1,0,11,11,11.00,13,84.61,0,0,0,1,0,SouthAfrica
AC Hudson,1992-1996,12,12,0,571,161,47.58,738,77.37,1,4,0,64,4,SouthAfrica
Imran Tahir,2011-2019,22,8,4,20,10*,5.00,34,58.82,0,0,3,1,0,SouthAfrica
CA Ingram,2011-2011,1,1,0,46,46,46.00,43,106.97,0,0,0,7,0,SouthAfrica
JH Kallis,1996-2011,36,32,7,1148,128*,45.92,1543,74.40,1,9,2,86,13,SouthAfrica
JM Kemp,2007-2007,8,5,2,74,49*,24.66,149,49.66,0,0,0,5,2,SouthAfrica
G Kirsten,1996-2003,21,21,4,806,188*,47.41,1068,75.46,1,5,2,79,7,SouthAfrica
PN Kirsten,1992-1992,8,8,2,410,90,68.33,616,66.55,0,4,0,28,2,SouthAfrica
L Klusener,1999-2003,14,11,8,372,57,124.00,307,121.17,0,3,0,31,16,SouthAfrica
AP Kuiper,1992-1992,9,8,1,113,36,16.14,158,71.51,0,0,0,9,1,SouthAfrica
CK Langeveldt,2003-2007,9,4,1,16,9,5.33,57,28.07,0,0,1,1,0,SouthAfrica
BM McMillan,1992-1996,15,9,4,145,33*,29.00,192,75.52,0,0,0,4,0,SouthAfrica
AK Markram,2019-2019,8,6,0,140,45,23.33,186,75.26,0,0,0,17,1,SouthAfrica
CR Matthews,1996-1996,6,2,2,17,9*,-,25,68.00,0,0,0,0,0,SouthAfrica
DA Miller,2015-2019,14,11,2,460,138*,51.11,390,117.94,1,0,1,29,15,SouthAfrica
M Morkel,2011-2015,14,4,1,12,6*,4.00,33,36.36,0,0,0,1,0,SouthAfrica
CH Morris,2019-2019,8,4,1,74,42,24.66,61,121.31,0,0,0,4,3,SouthAfrica
A Nel,2007-2007,6,2,0,9,8,4.50,46,19.56,0,0,0,1,0,SouthAfrica
L Ngidi,2019-2019,4,2,1,7,6*,7.00,11,63.63,0,0,0,0,1,SouthAfrica
M Ntini,2003-2007,13,5,0,29,14,5.80,28,103.57,0,0,2,3,1,SouthAfrica
SJ Palframan,1996-1996,6,3,0,45,28,15.00,64,70.31,0,0,0,6,0,SouthAfrica
WD Parnell,2011-2015,2,2,1,17,17*,17.00,29,58.62,0,0,1,1,0,SouthAfrica
RJ Peterson,2003-2011,10,7,5,55,22*,27.50,53,103.77,0,0,1,8,1,SouthAfrica
AL Phehlukwayo,2019-2019,9,7,3,133,46*,33.25,156,85.25,0,0,1,16,2,SouthAfrica
VD Philander,2015-2015,4,2,1,10,10*,10.00,8,125.00,0,0,1,1,0,SouthAfrica
SM Pollock,1996-2007,31,20,4,279,52,17.43,369,75.60,0,1,1,13,4,SouthAfrica
D Pretorius,2019-2019,3,2,0,3,2,1.50,6,50.00,0,0,0,0,0,SouthAfrica
AG Prince,2007-2007,9,6,1,107,47*,21.40,136,78.67,0,0,1,8,1,SouthAfrica
MW Pringle,1992-1992,7,1,1,5,5*,-,6,83.33,0,0,0,0,0,SouthAfrica
K Rabada,2019-2019,9,4,2,58,31*,29.00,70,82.85,0,0,0,4,1,SouthAfrica
JN Rhodes,1992-2003,24,20,3,354,43,20.82,403,87.84,0,0,1,22,4,SouthAfrica
DJ Richardson,1992-1992,9,5,2,66,28,22.00,99,66.66,0,0,1,3,0,SouthAfrica
RR Rossouw,2015-2015,6,5,1,210,61*,52.50,180,116.66,0,2,0,23,5,SouthAfrica
MW Rushmere,1992-1992,3,3,0,49,35,16.33,103,47.57,0,0,0,2,0,SouthAfrica
T Shamsi,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,SouthAfrica
GC Smith,2003-2011,20,20,1,747,91,39.31,865,86.35,0,6,0,84,6,SouthAfrica
RP Snell,1992-1992,9,4,2,24,11*,12.00,20,120.00,0,0,0,3,0,SouthAfrica
DW Steyn,2011-2015,14,4,0,45,20,11.25,73,61.64,0,0,0,7,0,SouthAfrica
PL Symcox,1996-1996,4,2,0,25,24,12.50,24,104.16,0,0,0,1,2,SouthAfrica
LL Tsotsobe,2011-2011,1,1,1,4,4*,-,2,200.00,0,0,0,1,0,SouthAfrica
HE van der Dussen,2019-2019,9,6,1,311,95,62.20,344,90.40,0,3,0,14,10,SouthAfrica
MN van Wyk,2011-2011,5,5,1,65,42,16.25,88,73.86,0,0,0,8,1,SouthAfrica
KC Wessels,1992-1992,9,9,2,313,85,44.71,583,53.68,0,3,0,23,0,SouthAfrica
M Zondeki,2003-2003,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,SouthAfrica
SD Anurasiri,1987-1992,11,5,2,21,11,7.00,39,53.84,0,0,1,0,0,SriLanka
RP Arnold,2003-2007,21,17,7,210,50,21.00,314,66.87,0,1,0,11,0,SriLanka
MS Atapattu,1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0,SriLanka
HMCM Bandara,2007-2007,1,1,0,17,17,17.00,19,89.47,0,0,0,0,2,SriLanka
PVD Chameera,2015-2015,2,2,2,14,12*,-,14,100.00,0,0,0,1,0,SriLanka
UDU Chandana,1999-1999,2,2,0,9,9,4.50,23,39.13,0,0,1,1,0,SriLanka
LD Chandimal,2015-2015,3,1,1,52,52*,-,24,216.66,0,1,0,8,1,SriLanka
RG de Alwis,1983-1983,6,6,3,167,59*,55.66,159,105.03,0,2,0,17,3,SriLanka
ALF de Mel,1983-1987,9,7,0,66,27,9.42,101,65.34,0,0,2,5,0,SriLanka
DM de Silva,2019-2019,7,7,3,108,29*,27.00,174,62.06,0,0,1,8,0,SriLanka
DLS de Silva,1979-1979,2,1,0,10,10,10.00,35,28.57,0,0,0,0,0,SriLanka
DS de Silva,1975-1983,11,10,1,148,35,16.44,298,49.66,0,0,0,10,0,SriLanka
GRA de Silva,1975-1979,2,2,1,2,2*,2.00,23,8.69,0,0,1,0,0,SriLanka
PA de Silva,1987-2003,35,32,3,1064,145,36.68,1229,86.57,2,6,2,107,15,SriLanka
HDPK Dharmasena,1996-1996,6,1,0,9,9,9.00,20,45.00,0,0,0,0,0,SriLanka
RL Dias,1979-1987,10,10,1,310,80,34.44,537,57.72,0,3,0,31,3,SriLanka
TM Dilshan,2007-2015,27,25,4,1112,161*,52.95,1196,92.97,4,4,2,122,9,SriLanka
N Pradeep,2019-2019,3,3,1,1,1*,0.50,12,8.33,0,0,2,0,0,SriLanka
CRD Fernando,2003-2007,16,7,4,33,13*,11.00,42,78.57,0,0,0,5,0,SriLanka
ER Fernando,1975-1975,3,3,0,47,22,15.66,66,71.21,0,0,0,7,0,SriLanka
WIA Fernando,2019-2019,4,4,0,203,104,50.75,192,105.72,1,0,0,23,4,SriLanka
PW Gunaratne,2003-2003,6,1,1,15,15*,-,15,100.00,0,0,0,3,0,SriLanka
FRMD Gunatilleke,1979-1979,1,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
DA Gunawardene,2003-2003,2,2,0,42,41,21.00,66,63.63,0,0,0,2,0,SriLanka
AP Gurusinha,1987-1996,18,17,0,488,87,28.70,789,61.85,0,3,1,34,13,SriLanka
UC Hathurusingha,1992-1992,4,3,0,26,16,8.66,63,41.26,0,0,0,1,0,SriLanka
HMRKB Herath,2011-2015,8,2,1,17,13,17.00,29,58.62,0,0,0,2,0,SriLanka
PD Heyn,1975-1975,2,2,0,3,2,1.50,20,15.00,0,0,0,0,0,SriLanka
SA Jayasinghe,1979-1979,2,1,0,1,1,1.00,3,33.33,0,0,0,0,0,SriLanka
ST Jayasuriya,1992-2007,38,37,3,1165,120,34.26,1285,90.66,3,6,0,120,27,SriLanka
DPMD Jayawardene,1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12,SriLanka
S Jeganathan,1987-1987,3,3,1,24,20*,12.00,35,68.57,0,0,0,2,1,SriLanka
VB John,1983-1987,11,9,7,46,15,23.00,85,54.11,0,0,1,4,0,SriLanka
RS Kalpage,1992-1992,7,6,2,67,14,16.75,111,60.36,0,0,0,2,0,SriLanka
S Randiv,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
LWS Kaluperuma,1975-1975,3,2,2,19,13*,-,46,41.30,0,0,0,1,0,SriLanka
RS Kaluwitharana,1996-1999,11,11,1,163,57,16.30,178,91.57,0,1,2,23,2,SriLanka
CK Kapugedera,2011-2011,2,2,0,3,2,1.50,8,37.50,0,0,0,0,0,SriLanka
FDM Karunaratne,2015-2019,11,9,1,259,97,32.37,364,71.15,0,2,1,25,0,SriLanka
PHT Kaushal,2015-2015,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,SriLanka
KMDN Kulasekara,2007-2015,11,8,2,94,32,15.66,98,95.91,0,0,0,6,3,SriLanka
DSBP Kuruppu,1983-1987,11,11,0,251,72,22.81,503,49.90,0,2,1,28,2,SriLanka
GF Labrooy,1992-1992,1,1,0,19,19,19.00,34,55.88,0,0,0,1,0,SriLanka
RAS Lakmal,2015-2019,7,4,3,34,15*,34.00,50,68.00,0,0,0,3,0,SriLanka
RS Madugalle,1979-1987,11,10,0,193,60,19.30,350,55.14,0,1,1,10,3,SriLanka
RS Mahanama,1987-1999,25,21,3,596,89,33.11,1054,56.54,0,5,1,54,1,SriLanka
MF Maharoof,2007-2007,6,3,0,39,25,13.00,36,108.33,0,0,0,6,0,SriLanka
SL Malinga,2007-2019,29,13,2,33,10,3.00,59,55.93,0,0,1,2,2,SriLanka
AD Mathews,2011-2019,22,17,3,533,113,38.07,621,85.82,1,2,3,41,12,SriLanka
BAW Mendis,2011-2011,6,1,1,0,0*,-,2,0.00,0,0,0,0,0,SriLanka
BKG Mendis,2019-2019,7,7,0,143,46,20.42,213,67.13,0,0,1,8,2,SriLanka
BMAJ Mendis,2015-2019,5,5,1,32,18,8.00,72,44.44,0,0,1,2,1,SriLanka
LRD Mendis,1975-1987,16,16,2,412,64,29.42,591,69.71,0,3,1,37,4,SriLanka
J Mubarak,2003-2003,1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,SriLanka
M Muralitharan,1996-2011,40,13,5,69,16,8.62,71,97.18,0,0,0,8,1,SriLanka
RAP Nissanka,2003-2003,4,2,0,2,2,1.00,27,7.40,0,0,1,0,0,SriLanka
ARM Opatha,1975-1979,5,3,0,29,18,9.66,55,52.72,0,0,1,3,0,SriLanka
SP Pasqual,1979-1979,2,2,1,24,23*,24.00,28,85.71,0,0,0,1,0,SriLanka
MDKJ Perera,2015-2019,9,9,0,300,78,33.33,269,111.52,0,3,0,34,3,SriLanka
NLTC Perera,2011-2019,16,14,2,167,47*,13.91,138,121.01,0,0,1,13,5,SriLanka
HSM Pieris,1975-1975,3,3,1,19,16,9.50,59,32.20,0,0,0,2,0,SriLanka
S Prasanna,2015-2015,2,2,0,12,9,6.00,16,75.00,0,0,0,1,0,SriLanka
KR Pushpakumara,1996-1996,2,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
CAK Rajitha,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
CPH Ramanayake,1992-1992,8,6,2,25,12,6.25,65,38.46,0,0,0,1,0,SriLanka
AN Ranasinghe,1975-1975,3,3,1,23,14*,11.50,43,53.48,0,0,1,3,0,SriLanka
A Ranatunga,1983-1999,30,29,8,969,88*,46.14,1197,80.95,0,7,3,99,7,SriLanka
RJ Ratnayake,1983-1987,9,8,2,81,20*,13.50,116,69.82,0,0,0,3,2,SriLanka
JR Ratnayeke,1987-1987,6,5,0,52,22,10.40,111,46.84,0,0,0,4,0,SriLanka
MAR Samarasekera,1983-1992,8,8,0,224,75,28.00,286,78.32,0,1,1,24,2,SriLanka
TT Samaraweera,2011-2011,9,7,4,110,34*,36.66,149,73.82,0,0,0,10,0,SriLanka
KC Sangakkara,2003-2015,37,35,8,1532,124,56.74,1770,86.55,5,7,1,147,14,SriLanka
SMSM Senanayake,2015-2015,1,1,0,7,7,7.00,8,87.50,0,0,0,1,0,SriLanka
LPC Silva,2007-2011,18,14,2,427,64,35.58,562,75.97,0,5,0,36,4,SriLanka
TAM Siriwardana,2019-2019,1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,SriLanka
APB Tennekoon,1975-1979,4,4,0,137,59,34.25,207,66.18,0,1,1,16,0,SriLanka
WU Tharanga,2007-2015,21,21,2,697,133,36.68,923,75.51,2,4,1,79,4,SriLanka
HDRL Thirimanne,2015-2019,12,12,2,445,139*,44.50,519,85.74,1,3,1,40,2,SriLanka
HP Tillakaratne,1992-2003,24,19,5,386,81*,27.57,705,54.75,0,2,2,30,1,SriLanka
MH Tissera,1975-1975,3,3,0,78,52,26.00,147,53.06,0,1,0,10,0,SriLanka
I Udana,2019-2019,7,7,1,45,17,7.50,75,60.00,0,0,1,3,1,SriLanka
KEA Upashantha,1999-1999,3,2,0,16,11,8.00,42,38.09,0,0,0,1,0,SriLanka
WPUJC Vaas,1996-2007,31,18,8,219,29*,21.90,296,73.98,0,0,1,16,4,SriLanka
JDF Vandersay,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
B Warnapura,1975-1979,5,5,0,79,31,15.80,217,36.40,0,0,0,10,0,SriLanka
S Wettimuny,1983-1983,6,6,0,128,50,21.33,317,40.37,0,1,0,12,1,SriLanka
SRD Wettimuny,1975-1979,3,3,1,136,67,68.00,242,56.19,0,2,0,16,0,SriLanka
GP Wickramasinghe,1992-1999,17,8,6,53,21*,26.50,91,58.24,0,0,0,2,0,SriLanka
KIW Wijegunawardene,1992-1992,3,-,-,-,-,-,-,-,-,-,-,-,-,SriLanka
JC Adams,1996-1999,9,8,3,120,53*,24.00,244,49.18,0,1,1,15,0,WestIndies
FA Allen,2019-2019,3,3,1,51,51,25.50,33,154.54,0,1,1,7,1,WestIndies
SW Ambris,2019-2019,2,2,0,36,31,18.00,46,78.26,0,0,0,3,0,WestIndies
CEL Ambrose,1992-1999,17,10,2,48,15*,6.00,89,53.93,0,0,0,3,1,WestIndies
KLT Arthurton,1992-1999,14,13,1,241,58*,20.08,386,62.43,0,2,4,12,4,WestIndies
SFAF Bacchus,1983-1983,8,5,1,157,80*,39.25,251,62.54,0,1,0,13+,0+,WestIndies
EAE Baptiste,1987-1987,1,1,0,14,14,14.00,20,70.00,0,0,0,1,0,WestIndies
WKM Benjamin,1987-1992,13,10,5,69,24*,13.80,81,85.18,0,0,2,5,0,WestIndies
SJ Benn,2011-2015,9,7,2,26,9*,5.20,42,61.90,0,0,0,3,0,WestIndies
CA Best,1987-1987,2,2,0,23,18,11.50,45,51.11,0,0,0,1,0,WestIndies
D Bishoo,2011-2011,3,3,2,6,6*,6.00,15,40.00,0,0,1,1,0,WestIndies
IR Bishop,1996-1996,6,4,1,35,17,11.66,95,36.84,0,0,0,1,1,WestIndies
KD Boyce,1975-1975,5,2,0,41,34,20.50,43,95.34,0,0,0,3,0,WestIndies
IDR Bradshaw,2007-2007,3,2,1,26,20,26.00,62,41.93,0,0,0,1,0,WestIndies
CR Brathwaite,2019-2019,8,6,1,154,101,30.80,145,106.20,1,0,0,13,8,WestIndies
DJ Bravo,2007-2011,10,9,2,169,40,24.14,195,86.66,0,0,0,11,5,WestIndies
DM Bravo,2011-2019,12,11,2,207,73,23.00,293,70.64,0,1,4,15,6,WestIndies
CO Browne,1996-1996,5,4,0,64,26,16.00,99,64.64,0,0,0,5,0,WestIndies
HR Bryan,1999-1999,2,-,-,-,-,-,-,-,-,-,-,-,-,WestIndies
SL Campbell,1996-1999,9,8,0,112,47,14.00,249,44.97,0,0,0,11,1,WestIndies
