Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country
MA Taylor,1992-1996,9,9,0,206,74,22.88,330,62.42,0,2,1,22,2,Australia
PL Taylor,1987-1992,9,7,3,34,17*,8.50,34,100.00,0,0,1,2,0,Australia
JR Thomson,1975-1983,8,5,2,51,21,17.00,50,102.00,0,0,1,4,1,Australia
A Turner,1975-1975,5,5,0,201,101,40.20,259,77.60,1,0,0,17,1,Australia
MRJ Veletta,1987-1987,4,4,1,136,48,45.33,121,112.39,0,0,1,11,0,Australia
MHN Walker,1975-1975,5,3,0,33,18,11.00,59,55.93,0,0,0,4,0,Australia
KD Walters,1975-1975,5,5,1,123,59,30.75,191,64.39,0,1,0,12,0,Australia
SK Warne,1996-1999,17,9,3,66,24,11.00,72,91.66,0,0,1,4,2,Australia
DA Warner,2015-2019,18,18,2,992,178,62.00,1011,98.12,4,3,0,104,17,Australia
SR Watson,2007-2015,22,19,7,643,94,53.58,595,108.06,0,6,1,67,17,Australia
ME Waugh,1992-1999,22,22,3,1004,130,52.84,1199,83.73,4,4,2,87,9,Australia
SR Waugh,1987-1999,33,30,10,978,120*,48.90,1207,81.02,1,6,0,73,13,Australia
KC Wessels,1983-1983,3,3,0,92,76,30.66,168,54.76,0,1,0,8,0,Australia
CL White,2011-2011,7,6,2,70,22*,17.50,113,61.94,0,0,0,4,0,Australia
MR Whitney,1992-1992,7,3,2,22,9*,22.00,51,43.13,0,0,0,2,0,Australia
GM Wood,1983-1983,5,5,1,144,73,36.00,256,56.25,0,1,0,10,0,Australia
KJ Wright,1979-1979,3,2,0,29,23,14.50,52,55.76,0,0,0,0,0,Australia
GN Yallop,1979-1983,9,9,3,247,66*,41.16,366,67.48,0,2,0,20,0,Australia
A Zampa,2019-2019,4,2,1,1,1,1.00,3,33.33,0,0,0,0,0,Australia
AK Zesers,1987-1987,2,2,2,10,8*,-,14,71.42,0,0,0,1,0,Australia
Abdur Razzak,2007-2011,15,11,2,44,15,4.88,88,50.00,0,0,3,3,0,Bangladesh
Aftab Ahmed,2007-2007,9,9,0,128,35,14.22,151,84.76,0,0,0,12,3,Bangladesh
Akram Khan,1999-2003,7,7,0,119,44,17.00,237,50.21,0,0,2,11,0,Bangladesh
Alok Kapali,2003-2003,6,5,0,80,32,16.00,126,63.49,0,0,0,5,2,Bangladesh
Al Sahariar,2003-2003,5,5,0,38,14,7.60,69,55.07,0,0,1,5,1,Bangladesh
Aminul Islam,1999-1999,5,5,0,45,15,9.00,122,36.88,0,0,1,5,0,Bangladesh
Anamul Haque,2015-2015,3,2,0,58,29,29.00,98,59.18,0,0,0,5,1,Bangladesh
