Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role
Aamer Sohail,1992-1996,16,16,0,598,114,37.37,847,70.6,2,4,1,67,1,Pakistan,86,3,384,8,2/26,48,4.46,64.5,0,0,4,0,2,Batsman
Aaqib Javed,1992-1996,15,3,3,8,6*,-,43,18.6,0,0,0,0,0,Pakistan,124.2,13,517,18,3/21,28.72,4.15,41.4,0,0,2,0,2,Bowler
Abdul Razzaq,1999-2011,22,19,2,373,62,21.94,665,56.09,0,2,1,35,2,Pakistan,140,11,592,19,3/25,31.15,4.22,44.2,0,0,3,0,4,All Rounder
Imran Khan,1975-1992,28,24,5,666,102*,35.05,1014,65.68,1,4,2,55,8,Pakistan,169.3,18,655,34,4/37,19.26,3.86,29.9,2,0,6,0,5,All Rounder
Javed Miandad,1975-1996,33,30,5,1083,103,43.32,1592,68.02,1,8,2,72,3,Pakistan,22,2,73,4,2/22,18.25,3.31,33,0,0,10,1,6,Batsman
Kamran Akmal,2007-2011,11,10,1,249,55,27.66,352,70.73,0,1,1,34,0,Pakistan,-,-,-,-,-,-,-,-,-,-,11,6,2,Wicket Keeper
Misbah-ul-Haq,2011-2015,15,13,1,598,83*,49.83,802,74.56,0,7,1,38,10,Pakistan,-,-,-,-,-,-,-,-,-,-,6,0,2,Batsman
Mohammad Hafeez,2007-2019,18,18,1,483,84,28.41,584,82.7,0,2,0,57,6,Pakistan,100,5,436,13,2/16,33.53,4.36,46.1,0,0,7,0,4,All Rounder
Moin Khan,1992-1999,20,14,4,286,63,28.6,269,106.31,0,1,0,23,7,Pakistan,-,-,-,-,-,-,-,-,-,-,23,7,3,Wicket Keeper
Mushtaq Ahmed,1992-1996,15,5,1,27,17,6.75,58,46.55,0,0,1,1,0,Pakistan,135,5,549,26,3/16,21.11,4.06,31.1,0,0,5,0,2,Bowler
Ramiz Raja,1987-1996,16,16,3,700,119*,53.84,1092,64.1,3,2,0,50,0,Pakistan,-,-,-,-,-,-,-,-,-,-,4,0,3,Batsman
Rashid Latif,1996-2003,12,7,1,148,36,24.66,133,111.27,0,0,2,10,5,Pakistan,-,-,-,-,-,-,-,-,-,-,14,3,3,Wicket Keeper
Saeed Anwar,1996-2003,21,21,4,915,113*,53.82,1157,79.08,3,3,0,90,6,Pakistan,4,0,15,1,1/15,15,3.75,24,0,0,3,0,3,Batsman
Saqlain Mushtaq,1996-2003,14,10,6,56,21,14,121,46.28,0,0,2,4,0,Pakistan,112.2,7,494,23,5/35,21.47,4.39,29.3,0,1,4,0,3,Bowler
Sarfaraz Ahmed,2015-2019,11,11,4,303,101*,43.28,353,85.83,1,1,0,21,3,Pakistan,-,-,-,-,-,-,-,-,-,-,19,1,2,Wicket Keeper
Shahid Afridi,1999-2015,27,24,1,325,37,14.13,289,112.45,0,0,1,30,12,Pakistan,184,7,831,30,5/16,27.7,4.51,36.8,2,2,13,0,5,All Rounder
Shoaib Akhtar,1999-2011,19,9,7,76,43,38,68,111.76,0,0,1,5,4,Pakistan,148.5,9,765,30,4/46,25.5,5.13,29.7,1,0,2,0,4,Bowler
Umar Akmal,2011-2015,14,13,2,404,71,36.72,480,84.16,0,2,1,38,7,Pakistan,-,-,-,-,-,-,-,-,-,-,16,0,2,Batsman
Umar Gul,2007-2011,11,6,2,49,34*,12.25,52,94.23,0,0,1,5,1,Pakistan,83.3,7,344,18,3/30,19.11,4.11,27.8,0,0,2,0,2,Bowler
Wahab Riaz,2011-2019,20,14,3,179,54*,16.27,171,104.67,0,1,2,15,8,Pakistan,166.4,5,926,35,5/46,26.45,5.55,28.5,1,1,9,0,3,All Rounder
Waqar Younis,1996-2003,13,6,1,32,11,6.4,64,50,0,0,0,1,0,Pakistan,93.1,8,466,22,4/26,21.18,5,25.4,1,0,5,0,3,Bowler
Wasim Akram,1987-2003,38,30,8,426,43,19.36,421,101.18,0,0,3,36,11,Pakistan,324.3,16,1311,55,5/28,23.83,4.04,35.4,2,1,8,0,5,All Rounder
