Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St,country
Hannan Sarkar,2003-2003,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Hasibul Hossain,1999-1999,4,4,29.0,4,111,3,2/26,37.00,3.82,58.0,0,0,2,0,Bangladesh
Imrul Kayes,2011-2015,9,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh
Javed Omar,2007-2007,3,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh
Junaid Siddique,2011-2011,6,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh
Khaled Mahmud,1999-2003,9,9,68.5,8,298,12,3/31,24.83,4.32,34.4,0,0,2,0,Bangladesh
Khaled Mashud,1999-2003,11,-,-,-,-,-,-,-,-,-,-,-,4,2,Bangladesh
Liton Das,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,3,0,Bangladesh
Mahmudullah,2011-2019,17,8,46.0,1,260,4,1/30,65.00,5.65,69.0,0,0,4,0,Bangladesh
Manjural Islam,1999-2003,10,10,69.1,7,301,8,3/62,37.62,4.35,51.8,0,0,3,0,Bangladesh
Mashrafe Mortaza,2003-2019,24,24,187.2,11,1010,19,4/38,53.15,5.39,59.1,1,0,5,0,Bangladesh
Mehidy Hasan Miraz,2019-2019,7,7,67.0,0,341,6,2/47,56.83,5.08,67.0,0,0,4,0,Bangladesh
Mehrab Hossain,1999-1999,5,-,-,-,-,-,-,-,-,-,-,-,2,0,Bangladesh
Minhajul Abedin,1999-1999,4,4,20.0,2,107,4,1/12,26.75,5.35,30.0,0,0,0,0,Bangladesh
Mohammad Ashraful,2003-2011,16,5,17.5,0,93,2,2/42,46.50,5.21,53.5,0,0,3,0,Bangladesh
Mohammad Mithun,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Mohammad Rafique,1999-2007,17,16,116.1,10,507,12,3/35,42.25,4.36,58.0,0,0,3,0,Bangladesh
Mohammad Saifuddin,2019-2019,7,7,58.0,2,417,13,3/72,32.07,7.18,26.7,0,0,1,0,Bangladesh
Mominul Haque,2015-2015,2,-,-,-,-,-,-,-,-,-,-,-,0,0,Bangladesh
Mosaddek Hossain,2019-2019,7,7,36.0,0,215,3,2/33,71.66,5.97,72.0,0,0,3,0,Bangladesh
Mushfiqur Rahim,2007-2019,29,-,-,-,-,-,-,-,-,-,-,-,21,7,Bangladesh
Mustafizur Rahman,2019-2019,8,8,72.1,2,484,20,5/59,24.20,6.70,21.6,0,2,1,0,Bangladesh
Naeem Islam,2011-2011,5,5,37.0,2,175,4,2/29,43.75,4.72,55.5,0,0,2,0,Bangladesh
Naimur Rahman,1999-1999,5,5,30.0,2,126,2,1/5,63.00,4.20,90.0,0,0,1,0,Bangladesh
Nasir Hossain,2015-2015,3,3,19.0,0,99,4,2/32,24.75,5.21,28.5,0,0,2,0,Bangladesh
Neeyamur Rashid,1999-1999,1,1,5.0,1,20,0,-,-,4.00,-,0,0,0,0,Bangladesh
Raqibul Hasan,2011-2011,4,-,-,-,-,-,-,-,-,-,-,-,1,0,Bangladesh
Rubel Hossain,2011-2019,14,14,107.1,1,645,14,4/53,46.07,6.01,45.9,1,0,5,0,Bangladesh
Sabbir Rahman,2015-2019,8,5,16.0,0,104,1,1/47,104.00,6.50,96.0,0,0,3,0,Bangladesh
Sanwar Hossain,2003-2003,6,4,24.0,0,108,5,3/49,21.60,4.50,28.8,0,0,4,0,Bangladesh
