Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,Country,Role,top5_season
KC Sangakkara,9,8,3,465.0,111,93.00,555,83.78,1,3,0,44,5,SriLanka,2011,-,-,-,0.0,-,-,-,-,-,-,10,4,SL,Wicket Keeper,True
KC Sangakkara,7,7,2,541.0,124,108.20,511,105.87,4,0,0,57,7,SriLanka,2015,-,-,-,0.0,-,-,-,-,-,-,5,3,SL,Wicket Keeper,True
V Sehwag,11,11,0,299.0,82,27.18,345,86.66,0,2,0,37,7,India,2003,22.0,2,88,2.0,1/3,44.00,4.00,66.0,0,0,8,0,INDIA,Batsman,False
V Sehwag,3,3,0,164.0,114,54.66,139,117.98,1,0,0,22,4,India,2007,10.0,0,32,2.0,2/17,16.00,3.20,30.0,0,0,0,0,INDIA,Batsman,False
V Sehwag,8,8,0,380.0,175,47.50,310,122.58,1,1,1,49,7,India,2011,-,-,-,0.0,-,-,-,-,-,-,3,0,INDIA,Batsman,True
SB Styris,8,7,2,268.0,141,53.60,263,101.90,1,1,0,12,9,NewZealand,2003,34.4,0,183,4.0,2/23,45.75,5.27,52.0,0,0,5,0,NZ,All Rounder,False
SB Styris,10,9,3,499.0,111*,83.16,598,83.44,1,4,0,45,6,NewZealand,2007,57.0,3,242,9.0,4/43,26.88,4.24,38.0,1,0,5,0,NZ,All Rounder,True
SB Styris,8,6,0,142.0,57,23.66,165,86.06,0,1,1,12,2,NewZealand,2011,28.4,0,127,4.0,2/17,31.75,4.43,43.0,0,0,3,0,NZ,All Rounder,False
DL Vettori,7,3,0,36.0,13,12.00,74,48.64,0,0,0,5,0,NewZealand,2003,65.0,1,259,2.0,1/38,129.50,3.98,195.0,0,0,0,0,NZ,Bowler,False
DL Vettori,10,5,1,28.0,14*,7.00,29,96.55,0,0,1,3,0,NewZealand,2007,97.4,2,447,16.0,4/23,27.93,4.57,36.6,1,0,2,0,NZ,Bowler,True
DL Vettori,6,3,1,53.0,44,26.50,50,106.00,0,0,0,6,0,NewZealand,2011,43.0,4,155,3.0,2/25,51.66,3.60,86.0,0,0,1,0,NZ,Bowler,False
DL Vettori,9,6,4,50.0,16*,25.00,46,108.69,0,0,0,6,1,NewZealand,2015,75.5,5,307,15.0,4/18,20.46,4.04,30.3,1,0,6,0,NZ,Bowler,False
Yuvraj Singh,11,10,3,240.0,58*,34.28,281,85.40,0,2,1,23,2,India,2003,14.3,2,70,5.0,4/6,14.00,4.82,17.4,1,0,1,0,INDIA,All Rounder,False
Yuvraj Singh,3,3,0,136.0,83,45.33,116,117.24,0,1,0,6,8,India,2007,3.0,0,15,0.0,-,-,5.00,-,0,0,0,0,INDIA,All Rounder,False
Yuvraj Singh,9,8,4,362.0,113,90.50,420,86.19,1,4,1,39,3,India,2011,75.0,2,377,15.0,5/31,25.13,5.02,30.0,0,1,3,0,INDIA,All Rounder,True
AB de Villiers,10,10,0,372.0,146,37.20,369,100.81,1,2,4,47,9,SouthAfrica,2007,-,-,-,0.0,-,-,-,-,-,-,5,0,SA,Batsman,False
AB de Villiers,5,5,1,353.0,134,88.25,326,108.28,2,1,0,31,7,SouthAfrica,2011,-,-,-,0.0,-,-,-,-,-,-,1,0,SA,Batsman,False
AB de Villiers,8,7,2,482.0,162*,96.40,334,144.31,1,3,0,43,21,SouthAfrica,2015,14.0,0,86,4.0,2/15,21.50,6.14,21.0,0,0,6,0,SA,Batsman,True
TM Dilshan,11,9,2,217.0,58,31.00,236,91.94,0,1,0,15,2,SriLanka,2007,36.5,3,158,5.0,2/22,31.60,4.28,44.2,0,0,3,0,SL,All Rounder,False
TM Dilshan,9,9,1,500.0,144,62.50,551,90.74,2,2,0,61,4,SriLanka,2011,31.0,2,126,8.0,4/4,15.75,4.06,23.2,1,0,6,0,SL,All Rounder,True
TM Dilshan,7,7,1,395.0,161*,65.83,409,96.57,2,1,2,46,3,SriLanka,2015,33.2,0,163,5.0,2/35,32.60,4.89,40.0,0,0,3,0,SL,All Rounder,False
SL Malinga,8,3,1,12.0,10,6.00,15,80.00,0,0,0,0,1,SriLanka,2007,58.2,6,284,18.0,4/54,15.77,4.86,19.4,1,0,2,0,SL,Bowler,True
SL Malinga,7,1,0,6.0,6,6.00,4,150.00,0,0,0,0,1,SriLanka,2011,48.4,0,270,13.0,6/38,20.76,5.54,22.4,0,1,0,0,SL,Bowler,False
SL Malinga,7,4,1,4.0,3,1.33,12,33.33,0,0,1,0,0,SriLanka,2015,63.4,1,354,12.0,3/35,29.50,5.56,31.8,0,0,3,0,SL,Bowler,False
SL Malinga,7,5,0,11.0,4,2.20,28,39.28,0,0,0,2,0,SriLanka,2019,61.4,4,373,13.0,4/43,28.69,6.04,28.4,1,0,0,0,SL,Bowler,True
Shakib Al Hasan,9,9,2,202.0,57*,28.85,353,57.22,0,2,1,15,3,Bangladesh,2007,60.5,0,302,7.0,2/12,43.14,4.96,52.1,0,0,1,0,BDESH,All Rounder,False
Shakib Al Hasan,6,6,0,142.0,55,23.66,200,71.00,0,1,0,14,0,Bangladesh,2011,46.2,0,223,8.0,2/28,27.87,4.81,34.7,0,0,2,0,BDESH,All Rounder,False
Shakib Al Hasan,6,6,1,196.0,63,39.20,209,93.77,0,2,0,18,3,Bangladesh,2015,57.4,1,298,8.0,4/55,37.25,5.16,43.2,1,0,2,0,BDESH,All Rounder,False
Shakib Al Hasan,8,8,1,606.0,124*,86.57,631,96.03,2,5,0,60,2,Bangladesh,2019,74.0,1,399,11.0,5/29,36.27,5.39,40.3,0,1,3,0,BDESH,All Rounder,True
SW Tait,11,-,-,0.0,-,-,-,-,-,-,-,-,-,Australia,2007,84.3,1,467,23.0,4/39,20.30,5.52,22.0,1,0,1,0,AUS,Bowler,True
SW Tait,7,1,1,0.0,0*,-,1,0.00,0,0,0,0,0,Australia,2011,52.0,3,264,11.0,3/35,24.00,5.07,28.3,0,0,1,0,AUS,Bowler,False
BRM Taylor,3,3,0,87.0,50,29.00,178,48.87,0,1,0,5,1,Zimbabwe,2007,-,-,-,0.0,-,-,-,-,-,-,4,1,ZIM,Wicket Keeper,False
BRM Taylor,6,6,0,170.0,80,28.33,195,87.17,0,1,1,20,1,Zimbabwe,2011,3.0,0,23,0.0,-,-,7.66,-,0,0,0,0,ZIM,Wicket Keeper,False
BRM Taylor,6,6,0,433.0,138,72.16,405,106.91,2,1,0,43,12,Zimbabwe,2015,-,-,-,0.0,-,-,-,-,-,-,4,0,ZIM,Wicket Keeper,True
JE Taylor,7,4,0,37.0,13,9.25,41,90.24,0,0,0,4,0,WestIndies,2007,64.0,3,306,6.0,2/42,51.00,4.78,64.0,0,0,0,0,WI,Bowler,False
JE Taylor,7,3,1,37.0,15*,18.50,48,77.08,0,0,0,5,0,WestIndies,2015,57.3,2,328,17.0,3/15,19.29,5.70,20.2,0,0,1,0,WI,Bowler,True
WU Tharanga,11,11,0,298.0,73,27.09,446,66.81,0,3,1,27,2,SriLanka,2007,-,-,-,0.0,-,-,-,-,-,-,2,0,SL,Batsman,False
WU Tharanga,9,9,2,395.0,133,56.42,472,83.68,2,1,0,52,2,SriLanka,2011,-,-,-,0.0,-,-,-,-,-,-,2,0,SL,Batsman,True
WU Tharanga,1,1,0,4.0,4,4.00,5,80.00,0,0,0,0,0,SriLanka,2015,-,-,-,0.0,-,-,-,-,-,-,0,0,SL,Batsman,False
MJ Guptill,8,8,2,262.0,86*,43.66,382,68.58,0,2,0,27,4,NewZealand,2011,-,-,-,0.0,-,-,-,-,-,-,1,0,NZ,Batsman,False
MJ Guptill,9,9,1,547.0,237*,68.37,523,104.58,2,1,0,59,16,NewZealand,2015,-,-,-,0.0,-,-,-,-,-,-,4,0,NZ,Batsman,True
MJ Guptill,10,10,1,186.0,73*,20.66,221,84.16,0,1,2,22,4,NewZealand,2019,-,-,-,0.0,-,-,-,-,-,-,8,0,NZ,Batsman,False
M Morkel,6,2,0,4.0,3,2.00,20,20.00,0,0,0,0,0,SouthAfrica,2011,40.2,0,207,9.0,3/33,23.00,5.13,26.8,0,0,2,0,SA,Bowler,False
M Morkel,8,2,1,8.0,6*,8.00,13,61.53,0,0,0,1,0,SouthAfrica,2015,68.1,4,299,17.0,3/34,17.58,4.38,24.0,0,0,2,0,SA,Bowler,True
TG Southee,8,3,0,14.0,8,4.66,21,66.66,0,0,1,1,0,NewZealand,2011,72.2,9,312,18.0,3/13,17.33,4.31,24.1,0,0,1,0,NZ,Bowler,True
TG Southee,9,3,1,23.0,12*,11.50,18,127.77,0,0,1,1,2,NewZealand,2015,81.0,7,472,15.0,7/33,31.46,5.82,32.4,0,1,2,0,NZ,Bowler,False
TG Southee,1,1,1,7.0,7*,-,16,43.75,0,0,0,0,0,NewZealand,2019,9.0,0,70,1.0,1/70,70.00,7.77,54.0,0,0,0,0,NZ,Bowler,False
KS Williamson,4,4,2,99.0,38*,49.50,92,107.60,0,0,0,8,1,NewZealand,2011,5.0,0,30,0.0,-,-,6.00,-,0,0,0,0,NZ,Batsman,False
KS Williamson,9,9,2,234.0,57,33.42,300,78.00,0,1,0,28,2,NewZealand,2015,2.0,0,12,0.0,-,-,6.00,-,0,0,3,0,NZ,Batsman,False
KS Williamson,10,9,2,578.0,148,82.57,771,74.96,2,2,0,50,3,NewZealand,2019,15.0,0,64,2.0,1/25,32.00,4.26,45.0,0,0,6,0,NZ,Batsman,True
TA Boult,9,2,2,0.0,0*,-,3,0.00,0,0,0,0,0,NewZealand,2015,85.0,14,371,22.0,5/27,16.86,4.36,23.1,1,1,1,0,NZ,Bowler,True
TA Boult,10,4,3,10.0,4,10.00,19,52.63,0,0,0,1,0,NewZealand,2019,99.0,4,479,17.0,4/30,28.17,4.83,34.9,2,0,7,0,NZ,Bowler,True
PJ Cummins,2,1,1,7.0,7*,-,30,23.33,0,0,0,1,0,Australia,2015,13.1,1,80,5.0,3/42,16.00,6.07,15.8,0,0,2,0,AUS,Bowler,False
PJ Cummins,10,8,1,51.0,23*,7.28,68,75.00,0,0,1,3,0,Australia,2019,86.1,6,427,14.0,3/33,30.50,4.95,36.9,0,0,4,0,AUS,Bowler,True
S Dhawan,8,8,0,412.0,137,51.50,449,91.75,2,1,0,48,9,India,2015,-,-,-,0.0,-,-,-,-,-,-,7,0,INDIA,Batsman,True
S Dhawan,2,2,0,125.0,117,62.50,121,103.30,1,0,0,17,0,India,2019,-,-,-,0.0,-,-,-,-,-,-,0,0,INDIA,Batsman,False
AJ Finch,8,8,0,280.0,135,35.00,304,92.10,1,1,1,26,6,Australia,2015,-,-,-,0.0,-,-,-,-,-,-,6,0,AUS,Batsman,False
AJ Finch,10,10,0,507.0,153,50.70,497,102.01,2,3,1,47,18,Australia,2019,3.0,0,20,1.0,1/13,20.00,6.66,18.0,0,0,5,0,AUS,Batsman,True
Mohammed Shami,7,3,3,8.0,4*,-,9,88.88,0,0,0,1,0,India,2015,61.0,7,294,17.0,4/35,17.29,4.81,21.5,1,0,5,0,INDIA,Bowler,True
Mohammed Shami,4,3,0,2.0,1,0.66,6,33.33,0,0,1,0,0,India,2019,35.1,2,193,14.0,5/69,13.78,5.48,15.0,2,1,3,0,INDIA,Bowler,True
RG Sharma,8,8,1,330.0,137,47.14,360,91.66,1,2,1,33,9,India,2015,3.0,0,21,0.0,-,-,7.00,-,0,0,3,0,INDIA,Batsman,False
RG Sharma,9,9,1,648.0,140,81.00,659,98.33,5,1,0,67,14,India,2019,-,-,-,0.0,-,-,-,-,-,-,4,0,INDIA,Batsman,True
MA Starc,8,3,1,0.0,0*,0.00,3,0.00,0,0,2,0,0,Australia,2015,63.5,3,224,22.0,6/28,10.18,3.50,17.4,1,1,5,0,AUS,Bowler,True
MA Starc,10,8,2,68.0,29,11.33,76,89.47,0,0,1,3,2,Australia,2019,92.2,5,502,27.0,5/26,18.59,5.43,20.5,2,2,3,0,AUS,Bowler,True
DA Warner,8,8,1,345.0,178,49.28,287,120.20,1,0,0,38,9,Australia,2015,-,-,-,0.0,-,-,-,-,-,-,5,0,AUS,Batsman,False
DA Warner,10,10,1,647.0,166,71.88,724,89.36,3,3,0,66,8,Australia,2019,-,-,-,0.0,-,-,-,-,-,-,4,0,AUS,Batsman,True
