Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,Overs,Mdns,runs_given,Wkts,BBI,bowling_average,Econ,bowling_strike_rate,4,5,Ct,St,num_seasons,Role,mean_rating,median_rating
AC Hudson,1992-1996,12,12,0,571,161,47.58,738,77.37,1,4,0,64,4,SouthAfrica,-,-,-,-,-,-,-,-,-,-,2,0,2,Batsman,35.625,35.625
G Kirsten,1996-2003,21,21,4,806,188*,47.41,1068,75.46,1,5,2,79,7,SouthAfrica,3,1,9,0,-,-,3,-,0,0,9,0,3,Batsman,49.01960784313725,47.058823529411754
GC Smith,2003-2011,20,20,1,747,91,39.31,865,86.35,0,6,0,84,6,SouthAfrica,26,0,162,4,2/56,40.5,6.23,39,0,0,15,0,3,Batsman,62.73148148148147,66.66666666666666
MS Atapattu,1999-2003,15,15,3,521,124,43.41,657,79.29,2,3,1,62,0,SriLanka,-,-,-,-,-,-,-,-,-,-,3,0,2,Batsman,50.735294117647065,50.735294117647065
DPMD Jayawardene,1999-2015,40,34,3,1100,115*,35.48,1280,85.93,4,5,3,99,12,SriLanka,24,0,131,2,2/56,65.5,5.45,72,0,0,16,0,5,Batsman,67.83625730994152,94.73684210526315
A Ranatunga,1983-1999,30,29,8,969,88*,46.14,1197,80.95,0,7,3,99,7,SriLanka,81.1,2,460,6,2/26,76.66,5.66,81.1,0,0,7,0,5,Batsman,62.15073529411765,58.125
WU Tharanga,2007-2015,21,21,2,697,133,36.68,923,75.51,2,4,1,79,4,SriLanka,-,-,-,-,-,-,-,-,-,-,4,0,3,Batsman,56.878306878306894,61.111111111111114
DL Haynes,1979-1992,25,25,2,854,105,37.13,1485,57.5,1,3,0,67+,4+,WestIndies,-,-,-,-,-,-,-,-,-,-,12,0,4,Batsman,73.33333333333333,73.33333333333333
BC Lara,1992-2007,34,33,4,1225,116,42.24,1420,86.26,2,7,1,124+,17+,WestIndies,-,-,-,-,-,-,-,-,-,-,16,0,5,Batsman,57.49019607843137,62.5
RB Richardson,1987-1996,20,20,3,639,110,37.58,1016,62.89,1,4,1,52,6,WestIndies,4,0,24,0,-,-,6,-,0,0,6,0,3,Batsman,67.5,62.5
RR Sarwan,2003-2011,21,20,4,739,92,46.18,974,75.87,0,3,0,71,10,WestIndies,13,1,73,2,1/17,36.5,5.61,39,0,0,3,0,3,Batsman,64.94708994708994,75.0
CR Ervine,2011-2015,12,12,0,390,85,32.5,449,86.85,0,4,1,36,8,Zimbabwe,-,-,-,-,-,-,-,-,-,-,5,0,2,Batsman,73.30827067669173,73.30827067669173
DL Houghton,1983-1992,20,19,0,567,142,29.84,900,63.0,1,4,3,47,8,Zimbabwe,2,0,19,1,1/19,19,9.5,12,0,0,14,2,3,Batsman,73.33333333333334,73.33333333333334
