Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
N Hussain,5,5,2,194,88*,64.66,330,58.78,0,2,0,22,1,England,1999
A Flower,8,8,1,186,68*,26.57,265,70.18,0,1,2,11,1,Zimbabwe,1999
GW Flower,8,8,0,185,45,23.12,374,49.46,0,0,0,19,0,Zimbabwe,1999
CL Cairns,9,8,3,182,60,36.40,243,74.89,0,1,1,12,5,NewZealand,1999
Ijaz Ahmed,9,9,1,176,51,22.00,281,62.63,0,1,2,12,2,Pakistan,1999
Abdul Razzaq,9,8,0,170,60,21.25,392,43.36,0,1,1,12,2,Pakistan,1999
SO Tikolo,5,5,0,167,71,33.40,251,66.53,0,2,0,19,1,Kenya,1999
Yousuf Youhana,4,4,1,161,81*,53.66,215,74.88,0,1,0,13,1,Pakistan,1999
M Azharuddin,8,7,1,161,59,26.83,206,78.15,0,1,0,11,2,India,1999
JN Rhodes,9,8,2,161,43,26.83,182,88.46,0,0,1,13,3,SouthAfrica,1999
GA Hick,5,5,2,159,73*,53.00,239,66.52,0,2,1,13,2,England,1999
RR Singh,6,6,1,157,75,31.40,195,80.51,0,1,1,7,5,India,1999
RD Shah,5,5,0,154,50,30.80,256,60.15,0,1,0,18,0,Kenya,1999
CD McMillan,9,9,0,153,32,17.00,300,51.00,0,0,0,15,0,NewZealand,1999
Wajahatullah Wasti,5,5,0,151,84,30.20,266,56.76,0,1,0,18,2,Pakistan,1999
Wasim Akram,10,9,2,148,43,21.14,160,92.50,0,0,1,11,6,Pakistan,1999
ADR Campbell,8,8,1,147,40,21.00,253,58.10,0,0,1,15,0,Zimbabwe,1999
S Ramesh,5,5,0,144,55,28.80,219,65.75,0,1,0,15,1,India,1999
AV Vadher,5,5,2,141,73*,47.00,244,57.78,0,2,0,13,1,Kenya,1999
Minhajul Abedin,4,4,2,140,68*,70.00,249,56.22,0,2,0,14,0,Bangladesh,1999
MS Atapattu,5,5,0,139,54,27.80,205,67.80,0,2,0,12,0,SriLanka,1999
RS Mahanama,5,5,0,136,36,27.20,255,53.33,0,0,0,13,0,SriLanka,1999
DS Lehmann,9,8,2,136,76,22.66,172,79.06,0,1,1,14,0,Australia,1999
S Chanderpaul,5,4,2,134,77,67.00,183,73.22,0,1,0,14,0,WestIndies,1999
A Ranatunga,5,5,0,134,50,26.80,191,70.15,0,1,0,13,1,SriLanka,1999
MO Odumbe,5,5,0,129,82,25.80,208,62.01,0,1,0,9,0,Kenya,1999
SR Tendulkar,11,11,0,673,152,61.18,754,89.25,1,6,0,75,4,India,2003
SC Ganguly,11,11,3,465,112*,58.12,565,82.30,3,0,1,30,15,India,2003
RT Ponting,11,10,2,415,140*,51.87,472,87.92,2,1,0,29,13,Australia,2003
AC Gilchrist,10,10,0,408,99,40.80,387,105.42,0,4,0,56,7,Australia,2003
HH Gibbs,6,6,2,384,143,96.00,381,100.78,1,2,0,52,10,SouthAfrica,2003
MS Atapattu,10,10,3,382,124,54.57,452,84.51,2,1,1,50,0,SriLanka,2003
A Flower,8,7,0,332,71,47.42,459,72.33,0,3,0,30,1,Zimbabwe,2003
ML Hayden,11,11,1,328,88,32.80,410,80.00,0,1,0,37,5,Australia,2003
A Symonds,9,5,3,326,143*,163.00,360,90.55,1,2,1,32,6,Australia,2003
DR Martyn,10,8,3,323,88*,64.60,395,81.77,0,4,2,21,1,Australia,2003
SP Fleming,8,8,1,321,134*,45.85,374,85.82,1,0,0,51,2,NewZealand,2003
ST Jayasuriya,10,10,2,321,120,40.12,420,76.42,1,2,0,30,2,SriLanka,2003
R Dravid,11,10,5,318,62,63.60,496,64.11,0,2,0,21,1,India,2003
V Sehwag,11,11,0,299,82,27.18,345,86.66,0,2,0,37,7,India,2003
CB Wishart,8,7,1,293,172*,48.83,343,85.42,1,0,0,33,3,Zimbabwe,2003
SB Styris,8,7,2,268,141,53.60,263,101.90,1,1,0,12,9,NewZealand,2003
PA de Silva,10,8,0,267,92,33.37,299,89.29,0,2,1,27,7,SriLanka,2003
RD Shah,9,9,0,265,61,29.44,438,60.50,0,2,1,34,0,Kenya,2003
BC Lara,6,6,0,248,116,41.33,306,81.04,1,1,0,25,7,WestIndies,2003
Yuvraj Singh,11,10,3,240,58*,34.28,281,85.40,0,2,1,23,2,India,2003
JM Davison,6,6,0,226,111,37.66,190,118.94,1,1,1,21,12,Canada,2003
DS Lehmann,10,8,3,224,56*,44.80,272,82.35,0,2,0,20,3,Australia,2003
CL Cairns,8,7,1,223,54,37.16,273,81.68,0,1,0,15,6,NewZealand,2003
Saeed Anwar,5,5,1,218,101,54.50,303,71.94,1,0,0,19,1,Pakistan,2003
NJ Astle,7,7,2,213,102*,42.60,266,80.07,1,1,3,23,0,NewZealand,2003
MO Odumbe,8,8,3,211,52*,42.20,204,103.43,0,1,1,18,2,Kenya,2003
RR Sarwan,5,5,3,209,75,104.50,218,95.87,0,1,0,23,4,WestIndies,2003
CH Gayle,6,6,0,206,119,34.33,295,69.83,1,1,1,22,2,WestIndies,2003
SO Tikolo,9,9,0,206,56,22.88,360,57.22,0,2,0,22,2,Kenya,2003
AJ Burger,6,6,0,199,85,33.16,198,100.50,0,1,0,25,3,Namibia,2003
S Chanderpaul,6,5,0,196,66,39.20,282,69.50,0,2,0,19,2,WestIndies,2003
G Kirsten,6,6,3,186,69,62.00,217,85.71,0,3,1,24,2,SouthAfrica,2003
KO Otieno,9,9,0,182,79,20.22,370,49.18,0,2,1,18,4,Kenya,2003
M Kaif,11,10,1,182,68*,20.22,316,57.59,0,1,1,16,1,India,2003
HP Tillakaratne,9,6,1,178,81*,35.60,305,58.36,0,1,0,17,0,SriLanka,2003
GW Flower,7,6,1,177,78*,35.40,225,78.66,0,1,0,14,2,Zimbabwe,2003
