Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,country,year
CJ McDermott,8,5,0,9,6,1.80,22,40.90,0,0,2,0,0,Australia,1992
BM McMillan,9,5,3,125,33*,62.50,154,81.16,0,0,0,4,0,SouthAfrica,1992
RS Mahanama,8,7,0,246,80,35.14,456,53.94,0,3,0,19,0,SriLanka,1992
SV Manjrekar,6,6,0,154,47,25.66,195,78.97,0,0,1,5,1,India,1992
GR Marsh,5,5,0,151,60,30.20,360,41.94,0,1,0,8,1,Australia,1992
MD Marshall,5,4,0,16,6,4.00,42,38.09,0,0,0,1,0,WestIndies,1992
Moin Khan,10,5,2,44,20*,14.66,50,88.00,0,0,0,3,1,Pakistan,1992
TM Moody,8,8,0,202,57,25.25,337,59.94,0,2,0,13,0,Australia,1992
KS More,8,6,2,41,15*,10.25,37,110.81,0,0,0,3,1,India,1992
DK Morrison,5,1,0,12,12,12.00,45,26.66,0,0,0,1,0,NewZealand,1992
Mushtaq Ahmed,9,4,1,27,17,9.00,56,48.21,0,0,0,1,0,Pakistan,1992
AH Omarshah,7,7,1,160,60*,26.66,270,59.25,0,1,0,12,0,Zimbabwe,1992
DN Patel,9,3,1,25,10*,12.50,37,67.56,0,0,0,1,0,NewZealand,1992
BP Patterson,1,-,-,-,-,-,-,-,-,-,-,-,-,WestIndies,1992
M Prabhakar,8,4,1,11,8,3.66,14,78.57,0,0,1,1,0,India,1992
DR Pringle,8,5,2,30,18*,10.00,38,78.94,0,0,0,1,0,England,1992
MW Pringle,7,1,1,5,5*,-,6,83.33,0,0,0,0,0,SouthAfrica,1992
AJ Pycroft,8,7,1,50,19,8.33,131,38.16,0,0,2,0,0,Zimbabwe,1992
SLV Raju,7,2,0,1,1,0.50,1,100.00,0,0,1,0,0,India,1992
CPH Ramanayake,8,6,2,25,12,6.25,65,38.46,0,0,0,1,0,SriLanka,1992
Ramiz Raja,8,8,2,349,119*,58.16,539,64.74,2,0,0,35,0,Pakistan,1992
A Ranatunga,8,7,2,262,88*,52.40,322,81.36,0,2,0,23,2,SriLanka,1992
DA Reeve,9,5,3,79,25*,39.50,96,82.29,0,0,0,5,0,England,1992
BA Reid,6,4,2,9,5*,4.50,35,25.71,0,0,0,0,0,Australia,1992
JN Rhodes,9,8,1,132,43,18.85,146,90.41,0,0,0,5,1,SouthAfrica,1992
DJ Richardson,9,5,2,66,28,22.00,99,66.66,0,0,1,3,0,SouthAfrica,1992
RB Richardson,8,8,1,132,56,18.85,265,49.81,0,1,0,5,2,WestIndies,1992
MW Rushmere,3,3,0,49,35,16.33,103,47.57,0,0,0,2,0,SouthAfrica,1992
KR Rutherford,9,7,2,212,65*,42.40,311,68.16,0,3,0,21,3,NewZealand,1992
Saleem Malik,10,9,3,116,51,19.33,150,77.33,0,1,1,8,0,Pakistan,1992
MAR Samarasekera,6,6,0,219,75,36.50,273,80.21,0,1,0,24,2,SriLanka,1992
RJ Shastri,2,2,0,82,57,41.00,179,45.81,0,1,0,3,0,India,1992
PV Simmons,4,4,0,153,110,38.25,191,80.10,1,0,1,13,3,WestIndies,1992
GC Small,5,1,0,5,5,5.00,18,27.77,0,0,0,0,0,England,1992
IDS Smith,9,5,1,61,19,15.25,44,138.63,0,0,0,9,0,NewZealand,1992
RA Smith,8,8,2,193,91,32.16,333,57.95,0,1,1,20,2,England,1992
RP Snell,9,4,2,24,11*,12.00,20,120.00,0,0,0,3,0,SouthAfrica,1992
K Srikkanth,8,8,1,117,40,16.71,211,55.45,0,0,3,14,0,India,1992
J Srinath,8,6,5,34,11,34.00,28,121.42,0,0,0,1,0,India,1992
AJ Stewart,10,8,1,259,77,37.00,365,70.95,0,2,0,30,1,England,1992
MA Taylor,2,2,0,13,13,6.50,31,41.93,0,0,1,0,0,Australia,1992
PL Taylor,7,6,2,17,10*,4.25,21,80.95,0,0,1,1,0,Australia,1992
SR Tendulkar,8,7,1,283,84,47.16,334,84.73,0,3,0,24,1,India,1992
HP Tillakaratne,8,7,1,80,25*,13.33,180,44.44,0,0,0,4,1,SriLanka,1992
AJ Traicos,8,5,3,35,16*,17.50,81,43.20,0,0,0,1,0,Zimbabwe,1992
PCR Tufnell,4,2,2,3,3*,-,5,60.00,0,0,0,0,0,England,1992
AC Waller,8,8,2,192,83*,32.00,191,100.52,0,1,1,19,5,Zimbabwe,1992
Wasim Akram,10,8,2,62,33,10.33,61,101.63,0,0,1,7,0,Pakistan,1992
Wasim Haider,3,2,0,26,13,13.00,70,37.14,0,0,0,1,0,Pakistan,1992
W Watson,8,1,1,5,5*,-,13,38.46,0,0,0,0,0,NewZealand,1992
ME Waugh,5,5,1,145,66*,36.25,144,100.69,0,1,0,8,2,Australia,1992
